Вакансия,Зарплата,Тип
Шеф-Пекарь,,Резюме
Инженер технолог,25 000,Резюме
Любая,40 000,Резюме
Водитель категории Е (В. С) по спб и Лен. области,50 000,Резюме
Сварщики,з/п не ук,Вакансии
Портная на дому,з/п не ук,Резюме
Уборщица утренняя,12 000,Резюме
Бухгалтер,з/п не ук,Резюме
Оператор пк/Менеджер по работе с клиентами,30 000,Резюме
Рассмотрю предложения,30 000,Резюме
Ищу работу,18 000,Резюме
Ищу работу,з/п не ук,Резюме
Электрик (электромонтажник),999,Резюме
Кассир в супермаркет (г. Ломоносов),з/п не ук,Вакансии
"Кухонный рабочий, мойщик посуды",20 000,Вакансии
Демонтаж(бригада),100,Резюме
Расклейщик объявлений,20 000,Резюме
Логист,30 000,Резюме
Электрик,з/п не ук,Вакансии
Инженер кип и А,50 000,Резюме
Ищу работу,1 500,Резюме
Требуются электромонтажники,з/п не ук,Вакансии
Ищу работу с ежедневной оплатой,1 200,Резюме
Инженер,30 000,Резюме
Монтажник инженер слаботочных сетей,40 000,Резюме
Электрогазосварщик,40 000,Вакансии
"Уроки живописи, рисунка, композиции",500,Резюме
"Ведущий инженер, начальник отдела",60 000,Резюме
Мастер маникюра и педикюра,40 000,Вакансии
"Менеджер - оператор, администратор",35 000,Резюме
Монтажник слаботочных систем,35 000,Резюме
Лаборант строительной лаборатории,30 000,Резюме
"Менеджер, инженер, администратор",35 000,Резюме
Подработка в свободное время,30 000,Резюме
Парикмахер универсал,з/п не ук,Вакансии
Воспитатель в элитный детский сад,35 000,Вакансии
Интернет маркетолог,35 000,Резюме
Кровельщик,з/п не ук,Резюме
Педагог игрового английского для детей,з/п не ук,Вакансии
Монтажник. Работа в люльке. Оплата раз в неделю,35 000,Вакансии
"Требуются грузчики, работа грузчиком",125,Вакансии
Уборщик,15 000,Резюме
Сварщик на полуавтомат(не электрод),50 000,Резюме
Гардеробщица,18 000,Вакансии
Менеджер по продажам,30 000,Вакансии
Водитель,45 000,Резюме
Землеустроитель,25 000,Резюме
Маляр,60 000,Резюме
Инструктор по вождению грузового автомобиля -кат С,33 000,Вакансии
Юрист. Адвокат. Помощник. Представитель в суд,45 000,Вакансии
Творчество,з/п не ук,Резюме
Продавцы шаров. Ежедневные выплаты,1 000,Вакансии
Консультант по лкм (Италия) в К-рауту,30 000,Вакансии
Уборщица,12 500,Вакансии
"Администратор, продавец-консультант, кассир",25 000,Резюме
Инженер проектировщик по отоплению и вентиляции,з/п не ук,Резюме
Продавец-консультант,30 000,Вакансии
Оператор наладчик пакетоделательной машины,35 000,Вакансии
Экспедитор,35 000,Резюме
Продавец,з/п не ук,Резюме
Логист,40 000,Резюме
"Менеджер, заместитель, помощник, администратор",30 000,Резюме
Ищу работу водителем В. С,з/п не ук,Резюме
Официант в банкетный зал,з/п не ук,Резюме
"Администратор, официант",з/п не ук,Резюме
"Менеджер по работе с клиентами, администратор",30 000,Резюме
Официант бариста 5/2,20 000,Вакансии
Помощник бухгалтера,25 000,Резюме
Подработка,10 000,Резюме
Администратор интернет магазина,25 000,Вакансии
Грузчик метро Девяткино,20 000,Вакансии
Ищу работу Шиномонтажника,з/п не ук,Резюме
Личный охранник,70 000,Резюме
Мастер маникюра педикюра,40 000,Вакансии
Водитель со своим рефрижератором (г/п 800 кг),3 000,Резюме
Администратор сайта,10 000,Резюме
"Администратор, менеджер по продажам",35 000,Резюме
Кадастровый инженер,з/п не ук,Резюме
Контроллер,20 000,Вакансии
"Тентовое производство Мастер раскройщик, Бригадир",з/п не ук,Резюме
Администратор,з/п не ук,Резюме
Требуются бригады строителей-монтажников,45 000,Вакансии
Промоутер в ресторанную сеть Дискаунт,500,Вакансии
Уборщицы в магазины,25 000,Вакансии
"Инструктор Лфк, массажист",з/п не ук,Резюме
Формовщица на хлебный завод,21 000,Вакансии
"Газовщик, монтажник бытового газового оборудования",40 000,Вакансии
Помощник менеджера по туризму,15 000,Резюме
Ищу роботу,40 000,Резюме
Требуется уборщик/уборщица,18 000,Вакансии
Требуются Штукатуры на высотные работы,1 350 000,Вакансии
"Бухгалтер, финансовый менеджер",з/п не ук,Резюме
Работа на дому,10 000,Резюме
Электрогазосварщик,з/п не ук,Резюме
Стоматолог - терапевт - хирург,з/п не ук,Вакансии
Уборщица в бригаду,22 300,Вакансии
Продавец-консультант,25 000,Вакансии
Водитель со своим авто не такси,35 000,Резюме
"Главный бухгалтер, заместитель главного бухгалтера",45 000,Резюме
Автомаляр,60 000,Резюме
Помощница по дому (в Приморском р-не),з/п не ук,Резюме
"Html-верстальщик, frontend разработчик",30 000,Резюме
"Дизайнер, менеджер по персоналу, администратор",30 000,Резюме
Руководитель региональных проектов,з/п не ук,Резюме
"SEO специалист, оптимизатор",45 000,Вакансии
Уборщик(ца) на выходные дни,800,Вакансии
Электро монтаж ник,50 000,Резюме
Менеджер по продажам интерьерных лестниц,30 000,Вакансии
"Инструктор, тренер",з/п не ук,Резюме
Инженер-технолог,42 000,Резюме
Требуются грузчики. Предоставляем проживание,30 000,Вакансии
Юрисконсульт / неполная занятость,з/п не ук,Резюме
Продавец мороженого movenpick В питерленд,30 000,Вакансии
Требуются курьеры,32 000,Вакансии
Охранник/безопасность,40 000,Резюме
Требуется работа,30 000,Резюме
Продавец зоотоваров в Колпино,15 000,Резюме
Слесарь по ремонту электроинструмента,35 000,Резюме
"Администратор, рекрутер, продавец-конс., секретарь",35 000,Резюме
Продавец-консультант,25 000,Вакансии
"Гипрочники, Сантехники",90 000,Вакансии
Менеджер по снабжению,39 000,Резюме
Координатор. Офис-менеджер. Управленец,30 000,Резюме
Массажист-тренер,з/п не ук,Резюме
Администратор,20 000,Резюме
"Гбр водитель, напарник",з/п не ук,Вакансии
Администратор мед. центра,25 000,Вакансии
Оператор на телефоне или пк,15 000,Резюме
Домработница,60 000,Резюме
Водитель Самосвала кат. C,45 000,Вакансии
"Менеджер по маркетингу, переводчик",25 000,Резюме
Экономист,50 000,Резюме
Работа в недвижимости без опыта,95 000,Вакансии
"Рабочая по озеленению, цветовод декоратор",з/п не ук,Резюме
Дворник ежедневка,28 000,Вакансии
Ищу работу,35 000,Резюме
Сантехник-электрик,з/п не ук,Резюме
Парикмахер,з/п не ук,Резюме
Сварщик накс,60 000,Резюме
Требуются плиточники,43 000,Вакансии
Аниматор на детский праздник,65 000,Вакансии
"Подработка, работа, выходные дни",з/п не ук,Вакансии
Ищу работу разнорабочим,1 500,Резюме
Медсестра,7 000,Вакансии
Продавец администратор,з/п не ук,Резюме
"Ищу работу в ночь, вечер",з/п не ук,Резюме
Дизайнер,з/п не ук,Резюме
Сварщик накс,60 000,Резюме
Продавец на уличную торговлю кукурузой,40 000,Вакансии
Специалист по тендерам и электронным аукционам,,Резюме
"Мясник, рубщик мяса",1 000,Резюме
Сантехник свободный график,50 000,Резюме
Повар,,Резюме
Мастер подключения интернет,30 000,Вакансии
"Арт директор, режиссёр, event менеджер",50 000,Резюме
Экспорт - Менеджер,35 000,Вакансии
Водитель,45 000,Резюме
Инженер-электронщик (кипиа),60 000,Резюме
Менеджер по продажам,50 000,Резюме
Помощник бухгалтера,25 000,Резюме
"Сантехники, сварщики, монтажники вентиляции",65 000,Вакансии
Повар-универсал,30 000,Вакансии
Бухгалтер (совмещение),5 000,Резюме
Помощник бухгалтера,30 000,Резюме
Повар-универсал,з/п не ук,Резюме
Менеджер пo paзвитию автoсервиса,25 000,Резюме
Ищу работу,35 000,Резюме
Зам. финансового директора/Финансист,85 000,Резюме
Управляющий/ Директор ресторана/ночного клуба,з/п не ук,Резюме
Кондитер,25 000,Вакансии
Диспетчер такси,25 000,Вакансии
Помощник руководителя,35 000,Резюме
Мастер маникюра/педикюра,з/п не ук,Резюме
"Ищу подработку, с личным Авто",25 000,Резюме
Специалист по работе с клиентами,20 000,Резюме
Ищу работу,20 000,Резюме
Уборщица,27 000,Вакансии
Нужно халтура,1 400,Резюме
Грузчик,29 000,Вакансии
Менеджер по работе с клиентами (типография),40 000,Вакансии
Агент по аренде без опыта,60 000,Вакансии
Сварщик,50 000,Резюме
Строительный контроль частного Заказчика,,Резюме
Компьютерный мастер,70 000,Вакансии
Сортировщик,30 000,Вакансии
Парикмахер,40 000,Вакансии
Сборщик корпусной мебели,50 000,Вакансии
Ищу работу сварщиком или момошником сварщика,з/п не ук,Резюме
"Коммерческий директор, Руководитель филиала",123 000,Резюме
Ищу водителя с котигорием а в на постояную работу,45 000,Резюме
Дорожный рабочий и подсобники,50 000,Вакансии
Рабочие штукатуры,50 000,Вакансии
Руководитель отдела,50 000,Резюме
"Администратор, продавец",з/п не ук,Резюме
Упаковщик на хлебное производство,21 000,Вакансии
Юрист,40 000,Резюме
Водитель с Газелью,350,Резюме
Уборщица-мойщица,з/п не ук,Вакансии
Кладовщик на неполный день,15 000,Резюме
Продавец,30 000,Резюме
Швея,30 000,Вакансии
Музыкальный педагог,з/п не ук,Резюме
Точка связи. Продавец-консультант,35 000,Вакансии
Руководитель проекта,150 000,Резюме
Разнорабочие. Демонтаж. Подсобники,з/п не ук,Резюме
Ищу работу,28 000,Резюме
Ищу Работу. Молодой и Энергичный,35 000,Резюме
Швея,з/п не ук,Резюме
Бармен,з/п не ук,Вакансии
Штукатур,з/п не ук,Резюме
Бригада аргонщиков 6 рз,60 000,Резюме
Мастер на час,з/п не ук,Резюме
Разнорабочий,з/п не ук,Резюме
Менеджеp пo бизнес-процессам,20 000,Резюме
"Администратор-кассир, офис-менеджер",23 000,Резюме
"Продавец консультант, и другие специальности",35 000,Резюме
Бетонщик монолитчик,50 000,Резюме
Ищу подработку на сегодня грузчиком-курьером,з/п не ук,Резюме
Уборщица на хлебный завод,22 000,Вакансии
Охранники,з/п не ук,Вакансии
Экспедитор. Сопровождающий,45 000,Резюме
Офис-менеджер,з/п не ук,Резюме
Требуются сиделки,28 000,Вакансии
Администратор,20 000,Резюме
Уборщица гостевой зоны,24 200,Вакансии
"Промоутер, представитель, консультант",1 500,Резюме
"Делопроизводитель, помощник руководителя",40 000,Резюме
"Административная работа, оператор, помощник",10 000,Резюме
"Офис-менеджер, секретарь",27 000,Резюме
Программист 1с,45 000,Резюме
Любая должность,25 000,Резюме
Водитель-экспедитор,45 000,Резюме
Администратор,15 000,Резюме
"Администратор, офис-менеджер",30 000,Резюме
Официант в ночную смену,20 000,Резюме
Уборщица на пищевое производство,22 000,Вакансии
Подключаем Водитель Яндекс Такси без комиссии,111 000,Вакансии
Вязальщица,5 000,Вакансии
Управляющая,45 000,Вакансии
"Выполнение чертежей, схем, рисунков в Autocad (2d)",1 000,Резюме
"Инженер-энергетик, мастер участка, начальник участ",40 000,Резюме
Ищу подработку,1 100,Резюме
"Инженер, мастер смр",40 000,Резюме
"Техник, ахч",45 000,Резюме
Требуется Сварщик,35 000,Вакансии
Член бригады,35 000,Резюме
Администратор,з/п не ук,Вакансии
"Начальник склада, начальник участка",з/п не ук,Резюме
Помощник юриста,з/п не ук,Резюме
Экономическая сфера,з/п не ук,Резюме
"Экспедитор, Помощник руководителя, Водитель",30 000,Резюме
Водитель,60 000,Резюме
Водитель категории В/C,з/п не ук,Резюме
"Бухгалтер, главный бухгалтер",10 000,Резюме
Оператор call - центра,25 000,Вакансии
"Помощник бухгалтера, бухгалтер",25 000,Резюме
Швея на пришив нашивок к закройной ленте (липучка),20 000,Вакансии
Подработка или,з/п не ук,Резюме
Требуется Резчик металла,35 000,Вакансии
Ищу работу,з/п не ук,Резюме
Специалист слаботочных систем,з/п не ук,Вакансии
"Инженер-строитель, помощник прораба",40 000,Резюме
Требуются разнорабочие,30 000,Вакансии
Менеджер в рекламное агентство,25 000,Вакансии
"Промышленный альпинист, работы на высоте",4 000,Резюме
Менеджер по персоналу,40 000,Резюме
"Вод, кат B",з/п не ук,Резюме
Менеджер по продажам пром электрооборудования,30 000,Вакансии
Инженер-технический писатель,40 000,Вакансии
Отделочники,з/п не ук,Резюме
Про Раб,з/п не ук,Резюме
Ищу работу,23 000,Резюме
Ищу подработку на вечернее время,з/п не ук,Резюме
"Техник, офис-мастер",,Резюме
Продавец-консультант в студию обоев,30 000,Вакансии
Преподаватель,з/п не ук,Резюме
Парикмахер,25 000,Вакансии
Оператор-диспетчер,з/п не ук,Вакансии
Промоутер,1 200,Вакансии
Коммерческий руководитель,40 000,Резюме
Охранник,35 000,Резюме
Преподаватель английского языка,з/п не ук,Резюме
"Прораб, нач. участка",65 000,Резюме
"Специалист по закупкам, Помощник руководителя",з/п не ук,Резюме
Презентант (р-он м. Большевиков и м. Дыбенко),50 000,Вакансии
Диспетчер,60 000,Вакансии
Водитель вс се,з/п не ук,Резюме
Продавец тц Ульянка,500,Вакансии
Водитель на авто компании,з/п не ук,Резюме
Администратор салона красоты,30 000,Резюме
Инженер слаботочных систем,з/п не ук,Вакансии
Агент по загородной недвижимости,73 000,Вакансии
Машинист экскаватора,,Резюме
Парикмахер- универсал,23 000,Резюме
Официант м. Академическая,45 000,Вакансии
Водитель,з/п не ук,Резюме
"Автослесарь, шиномонтажник",з/п не ук,Резюме
Ищу работу,з/п не ук,Резюме
Производитель работ,50 000,Резюме
Конструктор км / кж,з/п не ук,Резюме
Охранник в сопровождение грузов,68 000,Вакансии
Ищу работу автобус катавсде стаж 12,35 000,Резюме
Руководитель отдела,40 000,Резюме
Повар холодного цеха,30 000,Резюме
"Сварщик, мастер",40 000,Резюме
Охранник (контролер) без лицензии,25 500,Вакансии
Специалист по контекстной рекламе,23 000,Резюме
Менеджер по развитию/рекламе,35 000,Резюме
Требуется автокрановщик жилье предоставляется,70 000,Вакансии
Бухгалтер,10 000,Резюме
Рабочие- отделочники,70 000,Вакансии
Фотограф,30 000,Резюме
Дизайнер,20 000,Резюме
"Проектировщик км, кж, кр, кд",50 000,Резюме
Ищу работу,з/п не ук,Резюме
Водитель,з/п не ук,Резюме
Менеджер по продажам,з/п не ук,Резюме
Водитель кат. Е,80 000,Резюме
Официант м. Звенигородская,45 000,Вакансии
Официанты в клуб Дискаунт на (Академическую),40 000,Вакансии
Специалист по охране труда,15 000,Резюме
Курьер,з/п не ук,Резюме
Разнорабочий,28 000,Вакансии
Дизайнер-консультант по кухням,25 000,Вакансии
Парикмахер универсал,20 000,Резюме
Продавец в магазин-склад цветов,30 000,Вакансии
Преподаватель современных танцев,з/п не ук,Резюме
Любая,50 000,Резюме
Ищу работу,з/п не ук,Резюме
Менеджер,20 000,Резюме
Мойщица посуды в ресторан,21 600,Вакансии
Врач - Терапевт,25 000,Вакансии
Повар горячего цеха,36 000,Вакансии
Выездной системный администратор,60 000,Вакансии
Официант м. Озерки,45 000,Вакансии
Водитель,60 000,Резюме
Главный бухгалтер (удаленно),10 000,Резюме
"Любая работа, рабочий на прво",30 000,Резюме
Менеджер по закупкам,35 000,Резюме
Бухгалтер,5 000,Резюме
Ищу работу Freelance,з/п не ук,Резюме
"Администратор, старший кассир, кассир-бухгалтер",25 000,Резюме
Водитель категории Е,50 000,Вакансии
Воспитатель,33 000,Вакансии
Администратор,з/п не ук,Резюме
Администратор в гостиницу,з/п не ук,Резюме
Официант м. Ленинский пр,45 000,Вакансии
Подсобный рабочий на пищевое производство (снг),35 000,Вакансии
"Административная работа, помощник руководителя",45 000,Резюме
Вахтёр,10 000,Вакансии
"Логист, Повар, Охранник",25 000,Резюме
Официант м. Бухарестская,45 000,Вакансии
Продавец,30 000,Вакансии
Требуется сантехник,50 000,Вакансии
Специалист цеха постпечати в типографии,25 000,Вакансии
Официант м. Василеостровская,45 000,Вакансии
Контент-менеджер,30 000,Резюме
Мойщица на пищевое производство (снг),25 500,Вакансии
Официант м. Улица Дыбенко,45 000,Вакансии
Мерчендайзер,30 000,Резюме
Личный водитель/водитель на авто компании,з/п не ук,Резюме
Администратор,30 000,Резюме
Плотник,з/п не ук,Резюме
Ищу работу,50 000,Резюме
Тренер по streiching,з/п не ук,Резюме
Фасовщица на пищевое производство (снг),27 500,Вакансии
"Менеджер по продажам, работа на телефоне",50 000,Вакансии
Высотный монтаж,з/п не ук,Резюме
Главный бухгалтер,50 000,Резюме
Требуется электрик,50 000,Вакансии
Администратор,20 000,Резюме
Требуется плиточник,50 000,Вакансии
Администратор в консультативный центр,40 000,Вакансии
Водитель на личном автомобиле,30 000,Резюме
Маркировщица в ночные смены,25 000,Резюме
"Водитель, водитель-экспидитор",35 000,Резюме
Продавец-консультант мужской одежды,30 000,Вакансии
Водитель бензовоза,35 000,Вакансии
Администратор,з/п не ук,Резюме
Мойщица-уборщица,1 200,Вакансии
Ищу работу,з/п не ук,Резюме
Подсобные рабочие на Демонтажные работы,32 000,Вакансии
Кассир (м. Василеостровская),25 000,Вакансии
Маркетолог,45 000,Резюме
Пошив одежды на заказ на дому,2 000,Резюме
Пескоструйщик-маляр бригада со своим оборудованием,,Резюме
"Замерщик, сметчик",1 000,Резюме
Ищу работу,1 500,Резюме
Требуется продавец в салон сотовой связи,35 000,Вакансии
Пескоструйщик-маляр со своим оборудованием до 5000,з/п не ук,Резюме
Продавец кондитерских изделий,20 000,Вакансии
Руководитель проекта,65 000,Вакансии
Специалист отдела кадров,25 000,Резюме
Менеджер отдела сбыта/снабжения,35 000,Резюме
Разнорабочие,60 000,Вакансии
Водитель-самосвала,30 000,Резюме
Кассир молодежного ресторана (м. Пр. Ветеранов),28 000,Вакансии
Обивщик мягкой мебели,60 000,Вакансии
Мастер маникюра и педикюра,45 000,Резюме
Продавец,з/п не ук,Вакансии
Грузчик-комплектовщик. Сборка мебели на дому,2 500,Резюме
Инженерные сети,15 000,Резюме
Требуется уборщица с 09.00-12.00,10 000,Вакансии
Я ищу работу (промоутер),з/п не ук,Резюме
Тайный покупатель,з/п не ук,Резюме
"Грузчик, работа с обучением",27 000,Резюме
Промоутеры. Оплата на месте,1 200,Вакансии
Охрана в бар,1 500,Вакансии
Оператор call-центра,з/п не ук,Резюме
Медицинская сестра,25 000,Вакансии
Пекарь в гипермаркет (м. Пионерская),25 000,Вакансии
"Слесарь механосборочных работ, рабочий, оператор",20 000,Резюме
"Курьер, водитель, менеджер, мерчендайзер, рабочий",30 000,Резюме
Машинист эксковатора погрузчика,з/п не ук,Резюме
Электромонтажник,з/п не ук,Резюме
Уборщица. сиделка. дом работница,з/п не ук,Резюме
Помощник воспитателя,з/п не ук,Резюме
Повар,32 000,Вакансии
"Разнорабочий, отделочник",1 500,Резюме
Дизайнер-менеджер по рекламе,з/п не ук,Резюме
Требуется комплектовщик/ кладовщик в магазин,25 000,Резюме
Автомойщики,35 000,Вакансии
Управляющий,50 000,Резюме
Приходящий бухгалтер (стаж работы 22 года),3 000,Резюме
Продавец на выкладку товара,22 000,Вакансии
Охранник,2 000,Резюме
"Водитель ""BCD""",з/п не ук,Резюме
Ночной продавец (м. Озерки),26 000,Вакансии
Дизайнер,з/п не ук,Резюме
Автоэлектрик- диагност (компьютер),1 300,Вакансии
Грузчик,25 000,Вакансии
"Шеф-повар, су-шеф, повар",40 000,Резюме
Водитель кат. В. Кроме такси. Имею свое авто,35 000,Резюме
Маляр-штукатур,з/п не ук,Вакансии
Работник торгового зала,25 000,Резюме
Кассир (м. Ленинский проспект),24 000,Вакансии
Грузчик,з/п не ук,Резюме
Бухгалтер главный,10 000,Резюме
Продавец-консультант,25 000,Вакансии
Бухгалтер,12 000,Резюме
Мойщица посуды в ресторан. Разные районы,22 000,Вакансии
"Зам. директора, нач. участка, куратор, ст. смены",50 000,Резюме
Удаленная работа,5 000,Резюме
"Администратор, секретарь",30 000,Резюме
Системный администратор,25 000,Резюме
Менеджер по продажам,40 000,Вакансии
Менеджер по продажам,30 000,Резюме
"Сиделка с проживанием, спокойная и добрая",19 800,Резюме
Менеджер по работе с клиентами(не продажи.),25 000,Резюме
Бройлер,з/п не ук,Резюме
Незанятые раз-чие. Команда,23 000,Резюме
Автослесарь,з/п не ук,Резюме
Фармацевт / Провизор (г. Сосновый Бор),з/п не ук,Вакансии
Слесарь По ремонту гпм,52 000,Вакансии
Требуется мойщик окон,42 000,Вакансии
Водитель автобетоносмесителя (миксера),з/п не ук,Вакансии
Помощник,25 000,Резюме
"Сварщик, бетонщик",100 000,Вакансии
Продавец консультант в бутик domino,25 000,Вакансии
Машинист на автовышку ап-17,40 000,Вакансии
Автослесарь,30 000,Резюме
Водитель,45 000,Резюме
Ювелир,з/п не ук,Резюме
Помощник,1 500,Резюме
"Прораб, мастер, бригадир",50 000,Резюме
"Кладовщик, начальник склада, экспедитор",35 000,Резюме
Сторож в гаражный кооператив,з/п не ук,Вакансии
Логист. Помощник логиста,з/п не ук,Резюме
3d Визуализатор,з/п не ук,Резюме
Монтажник натяжных потолков,з/п не ук,Резюме
Бухгалтер,35 000,Вакансии
Повар,з/п не ук,Резюме
Системный Администратор,10 000,Резюме
Парикмахер-универсал,40 000,Резюме
"Монтажник, арматурщик-бетонщик",40 000,Резюме
Оператор call-центра,з/п не ук,Резюме
Няня,з/п не ук,Резюме
Кассир,18 000,Вакансии
Промальп-высотник,50 000,Резюме
Подработка в такси,65 000,Вакансии
Ищу работу рассматриваю любые варианты,з/п не ук,Резюме
Официант в кафе (м. Владимирская),30 000,Вакансии
Системный администратор,35 000,Резюме
Ищу работу,з/п не ук,Резюме
Ищу работу,з/п не ук,Резюме
Помощник менеджера,25 000,Вакансии
Грузчик-экспедитор,65 000,Вакансии
Помощник повара (вахта с бесплатным проживанием),30 000,Вакансии
Ведущий архитектор. Сдельно,з/п не ук,Резюме
Автослесарь,55 000,Вакансии
"Слесарь, разнорабочий, демонтаж",1 500,Резюме
Комплектовщик,40 000,Вакансии
Водитель В. С. Д. Е,60 000,Резюме
Водитель водитель экпидитор продавец запчастей,25 000,Резюме
"Проектировщик, архитектор",45 000,Резюме
Экспедитор-грузчик,з/п не ук,Резюме
"Руководитель (менеджер) отдела снабжения, вэд",70 000,Резюме
Бригада монтажников,60 000,Вакансии
Менеджер объекта (Парнас+ Сертолово),45 000,Вакансии
Любая,30 000,Резюме
Прораб,з/п не ук,Вакансии
Машинист гусеничного экскаватора,60 000,Вакансии
Прораб со своими бригадами на отделку,150 000,Вакансии
Техник,40 000,Резюме
Менеджер по логистике и закупкам,50 000,Резюме
Менеджер,з/п не ук,Резюме
Сервис- инженер,35 000,Резюме
Охранник-администратор,57 000,Вакансии
Продавец кассир,20 000,Вакансии
Гранитчик Плиточник,100 000,Вакансии
