Вакансия,Зарплата,Тип
Менеджер,30 000,Резюме
Уборщица на азс Парнас,15 000,Вакансии
Администратор Менеджер Делопроизводитель,30 000,Резюме
Требуются разнорабочие,1 300,Вакансии
Продавец-консультант (тк Сенная),30 000,Вакансии
Помощник отделочника,80 000,Вакансии
"Косметолог-эстетист, помощник косметолога",з/п не ук,Резюме
Ведущий инженер-конструктор,70 000,Резюме
Логист,30 000,Вакансии
Наука и образование,з/п не ук,Резюме
"Визуализатор 3d, дизайнер интерьера, краснодеревши",з/п не ук,Резюме
Охранник,30 000,Резюме
"Секретарь, помошник руководителя",25 000,Резюме
Честный сотрудник для честного работодателя ),з/п не ук,Резюме
Уборщица,7 800,Вакансии
Охранник без лицензии,1 000,Резюме
"Монтажник, охранник, грузчик, бригадир",50 000,Резюме
Флорист,з/п не ук,Резюме
"Хостес, секретарь",25 000,Резюме
"Экономист, помощник экономиста",20 000,Резюме
Автослесарь,40 000,Вакансии
"Водитель такси, сменщик (свободный график)",50 000,Вакансии
"Грузчик, подработка/совмещение",1 100,Вакансии
Грузчик (свободный график),1 100,Вакансии
Мойщик посуды,28 000,Вакансии
Грузчик (Авиагородок),28 000,Вакансии
Оператор посудомоечной машины (Авиагородок),28 000,Вакансии
Грузчик на производство,27 000,Вакансии
Рабочие на линию,27 000,Вакансии
Водитель-дальнобойщик (с рабочей визой),60 000,Вакансии
Сортировщики (Сестрорецк),25 000,Вакансии
Грузчик в авиагородок,28 000,Вакансии
Оператор посудомоечной машины,28 000,Вакансии
Уборщица (г. Отрадное),27 000,Вакансии
Посудомойщица,28 000,Вакансии
Оператор погрузо-разгрузочных работ,28 000,Вакансии
"Разнорабочий (Стрельна), еженедельная оплата",з/п не ук,Вакансии
"Сортировщики (Стрельна, еженедел. выплаты)",1 200,Вакансии
Рабочий,1 200,Резюме
Менеджер по транспорту,30 000,Вакансии
Официант,18 000,Вакансии
Приглашаем на работу мед. сестру,30 000,Вакансии
Временная работа/Подработка,25 000,Резюме
"Разнорабочий, ученик (на стройку )",45 000,Вакансии
Администратор сайта,25 000,Резюме
Слесарь-сборщик,35 000,Вакансии
Водитель экспедитор,30 000,Вакансии
Администратор салона красоты,25 000,Вакансии
Продавец кассир или мерчендайзер,25 000,Резюме
Блинопек-кассир/постоянная (м. Волковская),28 500,Вакансии
Разнорабочий,30 000,Резюме
Менеджер по продажам логистических услуг,50 000,Вакансии
Менеджер офис или по удалению,100 000,Резюме
"Горничная, упаковщица",25 000,Резюме
"Повар семью, личный повар, повар в офис",2 500,Резюме
"Арт-менеджер, Ведущая",50 000,Резюме
Финансовый менеджер,30 000,Резюме
Главный бухгалтер,5 000,Резюме
Уборщица на производство 5/2 (м. Ладожская),24 000,Вакансии
Требуется уборщица,20 000,Вакансии
Водитель,40 000,Резюме
Системный администратор,30 000,Резюме
Требуются подсобные рабочие,1 000,Вакансии
"Тракторист кат. b, c, e, f. Водитель кат. b",40 000,Резюме
"Оператор пк, 1С, бд",25 000,Резюме
Бухгалтер,30 000,Резюме
Врач-косметолог,50 000,Резюме
Повар горячего цеха,з/п не ук,Вакансии
Флорист,30 000,Резюме
"Станочники, сборщики мебели, установщики в Пушкине",40 000,Вакансии
"Ученик токаря, оператор пк, разнорабочий",25 000,Резюме
Главный архитектор проекта,80 000,Резюме
Дмитрий 23,1 500,Резюме
Кальянщик,30 000,Вакансии
Повар горячего цеха ежедневные выплаты,30 000,Резюме
"Инженер по охране окружающей среды, охране труда",20 000,Резюме
Сиделка с проживанием,28 000,Резюме
Директор по строительству,з/п не ук,Вакансии
Старший кондитер,38 000,Вакансии
"Комплектовщик сети ""Юлмарт"" пос. Красная Заря",30 000,Вакансии
Горничные. Без опыта. Обучаем. Достойные условия,32 800,Вакансии
Дизайнер штор,40 000,Вакансии
Рабочие в пгт. Никель и Заполярный,35 000,Вакансии
Официант,10 000,Резюме
Бухгалтер,10 000,Резюме
Курьер,з/п не ук,Резюме
Ищу работу,з/п не ук,Резюме
Водитель катВ,32 000,Резюме
"Менеджер по продажам, администратор",30 000,Резюме
Ищу достойною работу,60 000,Резюме
Повар,25 000,Резюме
Главный бухгалтер,20 000,Резюме
Менеджер по снабжению / Менеджер по закупкам,35 000,Резюме
Администратор,25 000,Резюме
Сторож в частный загородный коттедж,30 000,Вакансии
Продавец (м. Гражданский пр.),20 000,Вакансии
Продавец в магазин разливного пива,30 000,Вакансии
"Дизайнер, художник, преподаватель изо",20 000,Резюме
Менеджер по госпитальным продажам,50 000,Вакансии
Работник торгового зала (м. Балтийская),18 000,Вакансии
Личный водитель. Водитель в компанию,60 000,Резюме
Машинист экскаватора,60 000,Вакансии
Ищу работу,30 000,Резюме
Большая бригада опытных отделочников универсалов,з/п не ук,Резюме
Ищу работу,15 000,Резюме
Генеральный директор,150 000,Резюме
Промоутер,з/п не ук,Резюме
"Водитель, Персональный водитель",40 000,Резюме
Менеджер по персоналу,25 000,Резюме
Кассир в супермаркет (м. Комменданский пр.),20 000,Вакансии
"Заместитель директора, администратор магазина",30 000,Резюме
"Старший кладовщик, кладовщик, координатор",30 000,Резюме
"Официантка, кассир",25 000,Резюме
Ищу работу водителем В С,40 000,Резюме
Кассир в супермаркет (м. пл. Мужества),20 000,Вакансии
Оператор линии по производству мороженого,30 000,Вакансии
Требуется мойщица-уборщица в столовую,22 000,Вакансии
Личный водитель,60 000,Резюме
