Вакансия,Зарплата,Тип
Газорезчик. Демонтажник,1 500,Резюме
Сварщик,40 000,Резюме
Сметчик,50 000,Резюме
Повар-универсал,з/п не ук,Резюме
Водитель такси. Заказы от 100 диспетчерских,85 000,Вакансии
Водитель такси 50/50(с ежедневными выплатами),62 000,Вакансии
"Продавец-консультант (м. Удельная, Пионерская)",23 800,Вакансии
Отделочники ищут работу,з/п не ук,Резюме
"Администратор, менеджер, хостес",32 000,Резюме
Комплектовщики,59 400,Вакансии
Грамотный человек с опытом кладовщика,40 000,Вакансии
"Кассир, еженедельные выплаты (Приморский р-н)",33 000,Вакансии
"Вахта, Охрана, безопасность",45 000,Вакансии
Массажистка,1 500,Резюме
Повар-заготовщик,25 000,Вакансии
Водитель-экспедитор м. Московские ворота,65 000,Вакансии
"Бригадир-строитель, комендант, адм. территории",1 000,Резюме
Мойщица посуды в элитный ресторан,30 000,Вакансии
Водитель м. Парнас,70 000,Вакансии
Водитель кат. Е (Санкт-Петербург),75 000,Вакансии
Требуется повар-универсал,1 300,Вакансии
Продавец-кассир в продуктовый магазин,40 000,Вакансии
Контролер-охранник,25 000,Резюме
"Инженер-электрик, энергетик",з/п не ук,Резюме
Водитель эвакуатора,45 000,Вакансии
Водитель в системе uber,80 000,Вакансии
Требуются менеджеры,80 000,Вакансии
"Кассир на новогоднюю торговлю, м. Удельная",29 500,Вакансии
Промышленный альпинист,90 000,Вакансии
Строительство,30 000,Резюме
Продавец-консультант (ул Планерная),23 800,Вакансии
"Сиделка с пожилыми людьми, выгул собак, уборка ква",20 000,Резюме
Сварщик,з/п не ук,Вакансии
Водитель автопогрузчика,35 000,Резюме
Водитель категории В,45 000,Вакансии
"Специалист по тендерам, госзакупкам, аукционам",2 500,Резюме
Рубщик мяса г. Сестрорецк,36 300,Вакансии
Штукатур -маляр,з/п не ук,Резюме
Старший повар г. Сестрорецк,34 300,Вакансии
Требуются электромонтажники,70 000,Вакансии
Продавец-кассир азс (Парнас),25 000,Вакансии
Подработка на выходные дни,2 000,Резюме
Повар универсал,36 000,Вакансии
Юрист/юрисконсульт,75 000,Резюме
Разные работу,з/п не ук,Резюме
Требуется администратор,23 000,Вакансии
Отделочник-универсал,з/п не ук,Резюме
Работа водителем такси с ежедневной оплатой,65 000,Вакансии
Удаленный менеджер по холодным продажам (фрилансер,30 000,Резюме
"Требуется продавец-мерчендайзер, Комендантский пр",28 000,Вакансии
Водитель В. С,45 000,Резюме
Швея на производство женской одежды,38 000,Вакансии
Бармен,30 000,Резюме
Руководитель проекта,70 000,Резюме
Охранник с лицензией (м. Проспект Большевиков),з/п не ук,Вакансии
Менеджер по персоналу,40 000,Вакансии
Сварщик -5р,140,Резюме
Менеджер по продажам,10 000,Резюме
Электрик,100,Резюме
Охранники с лицензией в тк (м. Удельная),з/п не ук,Вакансии
Прораб,60 000,Резюме
Требуется кальянщик,22 000,Вакансии
Продавец. Администратор,з/п не ук,Резюме
Менеджер по продажам,з/п не ук,Резюме
Мастер по ремонту,з/п не ук,Резюме
Банщик,30 000,Резюме
Лицензированный охранник 6 разряд,35 000,Резюме
Охранник с лицензией (м. Комендантский проспект),2 150,Вакансии
"SEO - оптимизатор, контент менеджер",35 000,Резюме
Продавец-консультант в сервисный центр,30 000,Вакансии
Официант линии раздачи/ зала,27 000,Вакансии
Агент по аренде недвижимости,75 000,Вакансии
Требуется бармен официант,35 000,Вакансии
"Кладовщик, работник склада",45 000,Резюме
Юрист,20 000,Резюме
Водитель,з/п не ук,Резюме
Охранник,з/п не ук,Вакансии
Требуется водитель на газель,20 000,Вакансии
Водитель,40 000,Резюме
Бригада затирщиков,з/п не ук,Резюме
Официант на банкеты,2 000,Резюме
Официантка,50 000,Вакансии
Ремонт квартир,185,Резюме
Консультант-промоутер,40 000,Вакансии
Работники торгового зала в гипермаркеты (С-Пб),35 000,Вакансии
Бригадир по работе с персоналом (С-Пб),40 000,Вакансии
Специалист в отдел персонала (С-Пб),40 000,Вакансии
Повара/пекари на собственное производство(С-Пб),30 000,Вакансии
Менеджер по продажам в сфере услуг для бизнеса,80 000,Вакансии
Требуется уборщица-посудомойщица (С-Пб),28 000,Вакансии
Работник торгового зала (С-Пб),30 000,Вакансии
Кассиры в гипермаркет (обучаем) м. Московская,32 000,Вакансии
Требуются уборщицы в магазины (С-Пб),26 000,Вакансии
Менеджер по продажам в клининговый отдел (С-Пб),80 000,Вакансии
Работники торгового зала (ночь) м. Комендантский п,28 000,Вакансии
Требуются кассиры в супермаркеты (С-Пб),32 000,Вакансии
Кассир-букмекер,40 000,Вакансии
Водитель на авто Форд Фокус и Хендай Солярис,40 000,Вакансии
Экспедитор,29 500,Вакансии
Сборщик мебели,з/п не ук,Вакансии
Сантехник-универсал,90 000,Вакансии
Установщика дверей (с обучением),з/п не ук,Резюме
Продавец на заправку (Шафировский пр.),35 000,Вакансии
Кассир,27 000,Вакансии
Архитектор,з/п не ук,Резюме
Водитель-экспедитор,з/п не ук,Резюме
Личный помощник руководителя. водитель,з/п не ук,Резюме
Бармен,30 000,Резюме
Инженер пто (подработка в autocade),з/п не ук,Резюме
Управляющий,45 000,Резюме
"Продавец автозапчастей, Менеджер",45 000,Резюме
Администратор хостела/мини-отеля,19 000,Резюме
Сборщик мебели,з/п не ук,Резюме
Помощник пекаря,23 000,Вакансии
Бармен,30 000,Вакансии
"Охранник без лицензии, оплата ежедневная",40 000,Вакансии
Товаровед (специалист по приемке /м. Комендантский,26 000,Вакансии
Повар горячего цеха,28 000,Вакансии
Оператор call-центра,25 000,Вакансии
Врач хирург,50 000,Резюме
Заместитель Генерального директора(строительство),40 000,Резюме
Химик,30 000,Резюме
Водитель категории В(ежедневные выплаты зарплаты),90 000,Вакансии
Водитель м. Комендантский проспект,70 000,Вакансии
Кассир / бармен / продавец (Просвещения),24 000,Вакансии
Оператор call-центра,25 000,Вакансии
Посудомойщица,100,Резюме
Кассир (м. Проспект Большевиков),26 500,Вакансии
Водитель в такси,з/п не ук,Вакансии
Водитель кат В. С. Д. Е,40 000,Резюме
"Мерчандайзер (День/Ночь), м. Пионерская",29 040,Вакансии
Мерчендайзер в К-Раута (Петергофское шоссе),25 000,Вакансии
Повар холодного/горячего цеха,35 000,Вакансии
Официант(ка) Мероприятий-расчёт сразу,52 500,Вакансии
Водитель на автомобиль компании,50 000,Вакансии
"Секретарь, администратор, офис-менеджер",з/п не ук,Резюме
"Требуется промоутер-консультант, ежедневные выплат",50 000,Вакансии
PR-менеджер,60 000,Вакансии
"Помощник главного бухгалтера, бухгалтер",50 000,Резюме
Дворник (г. Петергоф),19 000,Вакансии
Кладовщик склада,30 000,Вакансии
Личный водитель на Вашем авто или на своем минивен,60 000,Резюме
"Кассир, еженедельные выплаты (м. Старая деревня)",33 000,Вакансии
Заправщик (м. Обводный канал),з/п не ук,Вакансии
Пекарь-кондитер,з/п не ук,Резюме
Заправщик (п. им Свердлова),15 400,Вакансии
Оператор азс N70 Санкт-Петербург,30 000,Вакансии
Оператор азс в г. Сестрорецк,30 000,Вакансии
Оператор азс N2,30 000,Вакансии
Региональный директор,250 000,Вакансии
Разнорабочий на склад бытовой техники,52 000,Вакансии
Работа,25 000,Резюме
Кассир на автозаправочную станцию,35 000,Вакансии
Зам. управляющего / товаровед / Невский р-н,28 000,Вакансии
Мастер Маникюра,з/п не ук,Вакансии
Повар,25 000,Резюме
Ищу работу помощник по Хозяйству,з/п не ук,Резюме
Администратор / продавец / Выборгский р-н,27 000,Вакансии
Официант-бармен в кафе домашней кухни,1 300,Вакансии
Грузчик-комплектовщик,30 000,Вакансии
Специалист по оформлению кредитов спб,25 000,Вакансии
Посудомойщица,30 000,Вакансии
Водитель на авто компании парк Большевиков,60 000,Вакансии
