Вакансия,Зарплата,Тип
Требуется Водитель-курьер,60 000,Вакансии
Бухгалтер главный,з/п не ук,Резюме
Мастер. установщик турников,50 000,Вакансии
Зам. управляющего / Товаровед / Центральный р-н,28 000,Вакансии
Менеджер по продажам,50 000,Вакансии
Ищу работу в ночную смену,з/п не ук,Резюме
Секретарь,25 000,Вакансии
Грузчики/русские напарники/приедем быстро,з/п не ук,Резюме
Зам. управляющего / товаровед / Калиниский р-н,28 000,Вакансии
Охранник в ювелирный салон,35 000,Вакансии
Мерчендайзер / Торговый представитель на косметику,31 000,Вакансии
Администратор / продавец / Купчино,27 000,Вакансии
Охранник вахтовым методом,30 000,Вакансии
Оператор игровой зоны,22 000,Вакансии
Секретарь-администратор,25 000,Вакансии
"Разборка и вынос ненужного хлама, мебель, диваны",з/п не ук,Резюме
"Требуется сантехники, отделочники/строители",45 000,Вакансии
Менеджер,25 000,Вакансии
Маркировщик(ца) спец. прибором,59 000,Вакансии
Администратор / продавец / Приморский р-н,27 000,Вакансии
Оператор станка с чпу. Рабочий производства,35 000,Резюме
Менеджер по продажам,50 000,Вакансии
Водитель такси на новом а/м Skoda Rapid,75 000,Вакансии
"Парикмахер-универсал, в график или подработка",40 000,Вакансии
Водитель на Ford Transit,65 000,Вакансии
Администратор / продавец / Приморский р-н,27 000,Вакансии
Оператор станка с чпу. Рабочий производства,35 000,Резюме
Менеджер по продажам,50 000,Вакансии
Водитель такси на новом а/м Skoda Rapid,75 000,Вакансии
"Парикмахер-универсал, в график или подработка",40 000,Вакансии
Водитель на Ford Transit,65 000,Вакансии
Водитель-экспедитор,80 000,Вакансии
Механик,40 000,Вакансии
Строитель,45 000,Резюме
Почтовый курьер,40 000,Вакансии
"Управляющий, руководитель",з/п не ук,Резюме
Продавец - кассир (Все районы/Обучение/Подработки),24 000,Вакансии
"Администратор, диспетчер, няня",20 000,Резюме
Водитель-экспедитор,40 000,Вакансии
Главный инженер тепловой сети,60 000,Вакансии
Диспетчер,40 000,Вакансии
Подсобн. Грузчик. Подработка,1 500,Резюме
"Сборщик мебели, обучение",65 800,Вакансии
Специалист по туризму,30 000,Резюме
Бухгалтер главный,65 000,Резюме
Повар до конца декабря. Подработка,2 250,Вакансии
Мойщица-уборщица,21 000,Вакансии
Адмнистратор-кассир,28 000,Вакансии
Банкетный официант,25 000,Вакансии
Администратор зала (официант),23 000,Вакансии
Требуется грузчик в любом районе и графике,30 000,Вакансии
"Машинист-кочегар котельной, еженедельные выплаты",76 000,Вакансии
"Логист (транспортный, складской)",40 000,Резюме
"Выполняю, алмазная резка, алмазное бурение",280,Резюме
"Водитель, Водитель-Курьер",40 000,Резюме
Работники на лесопилку,60 000,Вакансии
Оператор / Специалист отдела по работе с клиентами,30 000,Вакансии
Он-лайн менеджер,31 000,Вакансии
Кладовщик экспедитор,33 000,Резюме
Газоэлектросварщик и слесарь,з/п не ук,Резюме
Водитель курьер м. Пушкинская,50 000,Вакансии
"Администратор салона красоты, студии загара",з/п не ук,Резюме
"Менеджер по продажам, работе с клинтами",з/п не ук,Резюме
"Мастер шавермы, шаурмы",1 500,Резюме
Курьер пеший,25 000,Резюме
"Водитель-экспедитор (категории""Е"")",55 000,Вакансии
Водитель такси (м. Чёрная речка),50 000,Вакансии
Водитель газели в спб. Ежедневная оплата работы,90 000,Вакансии
Бармен,30 000,Резюме
Продавец в авто-лавку (продукты питания),25 000,Вакансии
Водитель с допогом категории С,50 000,Вакансии
Кассиры в рестораны,30 000,Вакансии
Пиццмейкеры,30 000,Вакансии
Водитель такси (м. Проспект Просвещения),90 000,Вакансии
Маляр без воздушной покраски,з/п не ук,Резюме
Оператор линии производства упаковки - вахта спб,57 500,Вакансии
Водитель-экспедитор м. Кировский завод,65 000,Вакансии
"Экспедитор-грузчик, жилье-обучение",56 300,Вакансии
Водитель автомобиля,60 000,Резюме
Грузчик-комплектовщик(ежедневные выплаты),40 000,Вакансии
Перевозчик на рейсы Псков - Санкт-Петербург,200 000,Вакансии
Продавец кассир г. Санкт-Петербург (Рыбацкое),25 000,Вакансии
Курьер пеший,38 000,Вакансии
Водитель погрузчика,35 000,Резюме
Мерчендайзер / Торговый представитель,31 000,Вакансии
Мерчендайзер на молочную продукцию,27 000,Вакансии
Оператор эвм/Менеджер по работе с клиентами,30 000,Резюме
Кладовщик склада,10 000,Вакансии
Мобильный бригадир клининга,з/п не ук,Резюме
Охранник,38 750,Резюме
"Мерчандайзер (День/Ночь), м. Купчино/Звездная",23 000,Вакансии
Водитель погрузчика,35 000,Резюме
Электромонтажник,40 000,Резюме
Мастер отделочных работ,700,Резюме
Работник склада,49 000,Вакансии
Мастер - Механик,50 000,Вакансии
Кассир-продавец,32 000,Вакансии
Установка радиаторов отопления,3 000,Резюме
Водитель такси,80 000,Вакансии
Визитный мерчендайзер (Приморский р-он),26 300,Вакансии
Главный (единственный) бухгалтер удаленно,4 000,Резюме
Стационарный мерчендайзер (м. Академическая),24 800,Вакансии
Любая,з/п не ук,Резюме
Ищу подработку водителем,3 000,Резюме
Водитель на шаланду категории Е,70 000,Вакансии
Стационарный мерчендайзер (м. пр-кт Просвещения),26 300,Вакансии
Помощник руководителя,35 000,Резюме
Стационарный мерчендайзер (м. Старая деревня),24 800,Вакансии
Комплектовщик на склад,47 040,Вакансии
Мерчендайзер мобильный (м. Комендантский проспект),26 300,Вакансии
Продавец-консультант,35 000,Резюме
"Визитный мерчандайзер (м Чернышеская, Восстания)",26 300,Вакансии
Монолит-опалубка,з/п не ук,Резюме
Визитный мерчандайзер (Василеостровская),26 300,Вакансии
Инженер,30 000,Резюме
Мерчандайзер мобильный (м. Автово),26 300,Вакансии
"Ищу работу водителем кат.""В"" на вашем автомобиле",50 000,Резюме
Продавец,22 000,Резюме
Визитный мерчандайзер (м. Международная),26 300,Вакансии
Консультант call-центра,26 000,Вакансии
Прораб по строительству нвк,60 000,Резюме
Продавец-консультант проф. косметика для волос,30 000,Вакансии
Ищу работу,з/п не ук,Резюме
Парикмахер-универсал,60 000,Вакансии
"Администратор, офис-менеджер",25 000,Резюме
Официант,45 000,Резюме
Слесарь-ремонтник-кулибин,45 000,Резюме
Разработчик сайтов и интернет-магазинов в спб,25 000,Резюме
Администратор в салон красоты и студию загара,30 000,Вакансии
Административный персонал,30 000,Резюме
Cмeнa Дeнь/Нoчь. Выплaты кaждый дeнь,з/п не ук,Вакансии
Продавец-консультант профкосметики,27 000,Вакансии
Аккаунт менеджер,40 000,Резюме
Повар (м. Проспект Большевиков),31 000,Вакансии
Руководитель отдела продаж. Руководитель проектов,50 000,Резюме
Фасовщик ёлочных игрушек,42 500,Вакансии
Менеджер по работе с клиентами,40 000,Вакансии
"Агент по недвижимости, Риэлтор",50 000,Вакансии
Оператор пк/Менеджер по работе с клиентами,30 000,Резюме
Бухгалтер,з/п не ук,Резюме
Мерчендайзер,20 000,Резюме
Мерчендайзер-консультант в К-Раута,25 000,Вакансии
Промоутер. Ежедневный расчёт,45 000,Вакансии
Требуются охранники,з/п не ук,Вакансии
Мастер по ремонту одежды,50 000,Вакансии
Повар,31 000,Вакансии
Cистемный администратор,1 000,Резюме
Персональный водитель. водитель экспедитор,з/п не ук,Резюме
Водитель-экспедитор,з/п не ук,Резюме
Охраник в магазин спортоваров,30 000,Вакансии
Требуются уборщицы в Аэропорт,30 000,Вакансии
Контролер-Охранник в магазин,27 000,Вакансии
"Подсобн. рабочий, разнорабочий, грузчик",200,Резюме
Кассир,30 000,Резюме
Начальник автоколонны,60 000,Вакансии
Менеджер,35 000,Резюме
Специалист диспетчерской службы,35 000,Вакансии
Прораб. Бригадир. Монолитные работы,50 000,Резюме
Водитель такси,45 000,Вакансии
Требуется диспетчер,35 000,Вакансии
Администратор,з/п не ук,Вакансии
Водитель на авто компании,60 000,Вакансии
Мерчандайзер,22 000,Вакансии
Экспедитор,32 000,Вакансии
Консультант по заполнению договоров,38 000,Вакансии
Офисный курьер,34 000,Вакансии
Администратор ветеринарной клиники,30 000,Вакансии
Водитель такси на авто компании (м. Пр. Просвещени,50 000,Вакансии
"Бригада сварщики, монтажники. Котельные, итп и др",з/п не ук,Резюме
"Промышленный альпинист, промальп",5 000,Резюме
Техник,30 000,Резюме
Ученик мастера по ремонту премиальных принтеров,59 000,Вакансии
Начинающий специалист по ремонту компьютеров,59 000,Вакансии
Врач бактериолог,35 000,Вакансии
Проверяющая,35 000,Вакансии
Ученик мастера (инженер) по ремонту техники apple,59 000,Вакансии
Бухгалтер,з/п не ук,Резюме
Торговый представитель,45 000,Резюме
Промоутер. Оплата ежедневно,51 000,Вакансии
Инженер пто. технадзор. консультирование,з/п не ук,Резюме
"Бригада рабочих, разнорабочих",з/п не ук,Резюме
"Оператор, дизайнер",з/п не ук,Резюме
Требуется парикмахер - стилист,60 000,Вакансии
Бухгалтер удаленно/частичная занятость (Колпино),5 000,Резюме
Водитель такси на свободный график,120 000,Вакансии
"Подсобный рабочий, разнорабочий",40 000,Резюме
Повар- универсал,2 000,Резюме
Инженер пто,50 000,Резюме
"Прораб, начальник Участка",60 000,Резюме
Кассир,30 000,Вакансии
Экспедитор. Ежедневные выплаты. С жильем,54 000,Вакансии
Ученик отделочника,30 000,Вакансии
Водитель такси на автомобиль компании,70 000,Вакансии
Требуется водитель на газель (ежедневный рассчет),90 000,Вакансии
Администратор салона,20 000,Резюме
Менеджер по продаже Автомобилей,60 000,Вакансии
Водитель,з/п не ук,Вакансии
Менеджер по продаже автозапчастей,40 000,Резюме
Кладовщик,35 000,Резюме
Подработка разнорабочим грузчиком ежедн. оплата,1 500,Резюме
Электрогазосварщики вагоностроительный завод Вахта,55 000,Вакансии
Охранник,27 000,Вакансии
Мерчандайзер,10 000,Вакансии
Юрисконсульт,25 000,Вакансии
Специалисты на строительство моста Вахта,40 000,Вакансии
Требуется водитель категории Е,30 000,Вакансии
Оператор call - центра,30 000,Вакансии
Водитель,35 000,Резюме
"Менеджер интернет-магазина, руководитель интернет",40 000,Резюме
Уборщица вечерняя,21 000,Вакансии
Бизнес Брокер / менеджер по продажам,90 000,Вакансии
Помощники по хозяйству,100 000,Резюме
Требуется Оператор call-центра выходного дня,19 000,Вакансии
"Продавец-консультант, продавец-кассир, буфетчица",25 000,Резюме
Бухгалтер неполный день/удаленка,15 000,Резюме
В поиске любой работы,1 500,Резюме
"Сварщик, сварщик-аргонщик",з/п не ук,Резюме
Ищу подработку по выходным дням,з/п не ук,Резюме
"Администратор, официант",50 000,Вакансии
Няня,170,Резюме
Специалист в контекстной рекламе (внештат.),1 000,Резюме
Требуется вечерняя уборщица,18 500,Вакансии
Проектировщик пгс. кж и км. (Внештатный),1 000,Резюме
Бухгалтер/инспектор ок неполный день/удаленка,20 000,Резюме
Ночной кладовщик,25 000,Вакансии
"Водитель офисный, персональный, личный",з/п не ук,Резюме
Водитель на автомобиле Компании 2016 года выпуска,60 000,Вакансии
Сборщик Установщик Замерщик мебели,з/п не ук,Резюме
Охранник без лицензии,2 000,Резюме
Работник ресторана,30 000,Вакансии
Инженер-сметчик/неполный день/удаленка,20 000,Резюме
Кладовщик,28 000,Резюме
Администратор,з/п не ук,Резюме
В поиске работы,1 500,Резюме
Водитель-механик,80 000,Резюме
Слесарь,60 000,Вакансии
"Кладовщик, комплектовщик",35 000,Резюме
Распространитель визиток по домофонам,25 000,Вакансии
Мобильный мерчендайзер (Приморский р-н),26 450,Вакансии
"Монтажник, подсобный рабочий",1 500,Резюме
"Продавец-кассир, продавец-консультант, бармен",25 000,Резюме
Продавец-консультант (м. Ладожская),40 000,Вакансии
Сварщик,з/п не ук,Резюме
Мерчандайзер мобильный (м. Старая Деревня),23 500,Вакансии
Сборщицы,30 000,Вакансии
Бригада сварщиков/монтажников + прораб,з/п не ук,Резюме
"Визитный мерчандайзер (Ленинский пр, пр Ветеранов)",26 450,Вакансии
"Мобильный мерчандайзер (м. Озерки, м. Просвещения)",21 000,Вакансии
Программист 1С 7.7,1 000,Резюме
Машинист колесного экскаватора,70 000,Вакансии
Массаж,700,Резюме
Кровельщик,,Резюме
"Визитный мерчандайзер (м. Пионерская, Петроградска",26 450,Вакансии
Швея на производство (детская одежда),з/п не ук,Вакансии
Грузчик -комплектовщик,35 000,Резюме
Главный бухгалтер / удаленно,5 000,Резюме
Охранник с лицензией,35 000,Резюме
"Мобильный кассир (Подработка, Все районы)",1 300,Вакансии
Медсестра цсо,з/п не ук,Резюме
Бухгалтер в единственном лице,10 000,Резюме
Кассир на работу Вахтовым методом,45 000,Вакансии
Продавец на островок сладостей,23 000,Вакансии
Официанты,30 000,Вакансии
Сантехника и электрика под ключ,з/п не ук,Резюме
Управляющий группой агентов,65 000,Вакансии
Охранник с лицензией,35 000,Резюме
"Мобильный кассир (Подработка, Все районы)",1 300,Вакансии
Медсестра цсо,з/п не ук,Резюме
Бухгалтер в единственном лице,10 000,Резюме
Кассир на работу Вахтовым методом,45 000,Вакансии
Продавец на островок сладостей,23 000,Вакансии
Официанты,30 000,Вакансии
Сантехника и электрика под ключ,з/п не ук,Резюме
Управляющий группой агентов,65 000,Вакансии
"Комплектовщик (м, Дыбенко )",45 000,Вакансии
Грузовые перевозки,з/п не ук,Резюме
Водители такси на авто компании в г. Сестрорецк,80 000,Вакансии
Продавец-консультант стройматериалов,з/п не ук,Резюме
Водитель в южный парк,60 000,Вакансии
Специалист по тендерной документации удаленно/прих,35 000,Резюме
Электрогазосварщик,з/п не ук,Резюме
Юрист,50 000,Резюме
Специалист отдела продаж,75 000,Вакансии
"Автомойщик, шиномонтажник",35 000,Вакансии
Водитель в северный парк,60 000,Вакансии
Курьер,40 000,Вакансии
Агент по недвижимости,59 000,Вакансии
Шиномонтажник,з/п не ук,Резюме
"Охранник, сторож",35 000,Резюме
Охранник суточник(без лицензии),21 000,Резюме
Продавец-консультант (г. Петергоф),33 000,Вакансии
Продавец-консультант п. Ольгино,33 000,Вакансии
Продавец-консультант,33 000,Вакансии
Бармен-официант,з/п не ук,Вакансии
Сотрудник ресторана аэропорт Пулково 1,28 000,Вакансии
Водитель такси на авто компании,60 000,Вакансии
Ведение бухгалтерского учета удаленно,з/п не ук,Резюме
Ищу работу с ежедневными выплатами,500,Резюме
Продавец консультант,38 000,Вакансии
Водитель такси,50 000,Вакансии
Водитель такси на автомобиле компании,,Вакансии
Упаковщик (ца) ежед. выплоты,38 000,Вакансии
"Горничная, старшая горничная",25 000,Вакансии
"Сварщик, Сантехник",з/п не ук,Резюме
"Машинист, составитель",35 000,Вакансии
Водитель м. Купчино,70 000,Вакансии
Комплектовщик,21 000,Вакансии
Бариста,30 000,Вакансии
"Охранник без лицензии, администратор",28 000,Резюме
Мойщица-уборщица в Кафе Север- Метрополь,30 000,Вакансии
Маркировщик (ца),46 000,Вакансии
"Web-мастер, Веб-дизайнер, SMM",10 000,Резюме
Автомеханик-автослесарь,з/п не ук,Вакансии
Требуется работа на постоянной основе,з/п не ук,Резюме
Водитель Такси на автомобиле компании и своём Т/С,65 000,Вакансии
Охранник,з/п не ук,Резюме
Продавец-кассир,20 000,Резюме
"Водитель, водитель-курьер",з/п не ук,Резюме
Уборщицы в Фитнес клуб день,29 000,Вакансии
Водитель категории B,з/п не ук,Резюме
"Администратор, диспетчер",20 000,Резюме
Автоэлектрик,36 000,Вакансии
Помощник бухгалтера,30 000,Резюме
Массажист,1 100,Резюме
"Рубщик мяса, мясник",з/п не ук,Резюме
Медсестра процедурная,з/п не ук,Резюме
Отделочник,з/п не ук,Резюме
Промоутер,220,Резюме
Повар-универсал,2 000,Резюме
Администратор,15 000,Резюме
Сборщик заказов,48 000,Вакансии
Семейная пара в охрану вахтой,з/п не ук,Резюме
Требуются мастера по ремонту бытовой техники в Спб,85 000,Вакансии
Стрелок,15 000,Вакансии
Водитель такси,50 000,Вакансии
Водитель категории В,50 000,Вакансии
"Водитель-экспедитор, м. Старая деревня",65 000,Вакансии
Повар / помощник повара,33 000,Резюме
Водитель на рефрижератор,80 000,Вакансии
Маляр-отделочник,з/п не ук,Резюме
Отделка квартир,з/п не ук,Резюме
Продавец,з/п не ук,Резюме
Охранник вахта,42 000,Вакансии
Помощник бухгалтера,40 000,Резюме
Продавец-консультант (тк Норд),25 000,Вакансии
Семейный-личный водитель,30 000,Резюме
Швея-закройщик по перетяжке мягкой мебели,30 000,Вакансии
"Ищу. Грузоперевозки, Город Лен область",500,Резюме
Лицензированный охранник,30 000,Вакансии
Плиточник,1 000,Резюме
Водитель такси на авто компании,60 000,Вакансии
Сантехник-монтажник,50 000,Резюме
Продавец - консультант салона МТС (м. Спортивная),89 000,Вакансии
Менеджер офиса продаж МТС (м. Девяткино),89 000,Вакансии
Водитель такси на автомобиле компании (м. Рыбацкое,50 000,Вакансии
Продавец-консультант сантехника,35 000,Резюме
Помощник менеджера (руководителя),50 000,Вакансии
Водитель такси от 70т. р. еженедельно без задержек,80 000,Вакансии
Слесарь-ремонтник подъемного оборудования,40 000,Резюме
Электрик,40 000,Вакансии
Охранник,30 000,Резюме
Водитель-Экспидитор вс,45 000,Вакансии
Кладовщик,35 000,Резюме
Администратор-кассир ветеринарной клиники,з/п не ук,Вакансии
Менеджер по аренде,45 000,Резюме
Водитель в компанию,57 000,Вакансии
Водители такси. Оплата сразу после смены,50 000,Вакансии
Ассистент косметолога,35 000,Вакансии
Менеджер по аренде коммерческой недвижимости,45 000,Резюме
Ведущий на радио,з/п не ук,Резюме
Ищу работу,з/п не ук,Резюме
Менеджер по продажам автозапчастей,35 000,Резюме
Экспедитор,40 700,Вакансии
Курьер,1 700,Вакансии
Водитель,35 000,Резюме
Начальник производства. Мастер,50 000,Резюме
Мойщица-уборщица в кафе Север Метрополь,27 000,Вакансии
Охранник,20 000,Вакансии
Администратор/кассир,40 000,Резюме
Водитель,60 000,Вакансии
Требуется ремонтник,35 000,Вакансии
"Су-шеф, повар универсал",40 000,Резюме
Грузчик-комплектовщик,45 650,Вакансии
Водитель-курьер,70 000,Вакансии
Старший повар,40 000,Вакансии
Водитель-курьер (м. Ладожская),50 000,Вакансии
Механик,з/п не ук,Резюме
Продавец воды в киоске,16 000,Вакансии
Инженер-проектировщик,з/п не ук,Резюме
Водитель-экспедитор Е,75 000,Вакансии
"Оператор кол центра, Администратор",27 000,Резюме
Юрист / юрисконсульт,з/п не ук,Резюме
Отделочник внутренних работ,з/п не ук,Резюме
Инженер-теплотехник,з/п не ук,Резюме
"Кассир, м. Лиговский проспект / м. Рыбацкое",25 000,Вакансии
Электрика гипрок плитка сантехника,60 000,Резюме
Водитель со своей газелью,1 500,Резюме
Товаровед в магазин,30 000,Вакансии
Отделочник -универсал,60 000,Резюме
Разнорабочий,з/п не ук,Резюме
Машинист экскаватора,70 000,Вакансии
Помощник косметолога с обучением,45 000,Вакансии
"Главный бухгалтер, зам. главного бухгалтера",з/п не ук,Резюме
Уборщик,з/п не ук,Резюме
Уборщица (подработка 5 часов),10 000,Вакансии
Упаковщик-комплектовщик,23 000,Вакансии
Агент по недвижимости на квоту,150 000,Вакансии
Работник склада г. спб (Комплектовщик-сборщик),25 000,Вакансии
Помошник по хозяйству,з/п не ук,Резюме
Продавец,з/п не ук,Резюме
Подсобный рабочий,30 000,Вакансии
Пеший курьер,25 000,Резюме
Фасовка Комплектовка ежедневный рассчет,з/п не ук,Вакансии
Водитель,50 000,Вакансии
"Охранник, сторож",з/п не ук,Резюме
Продавец воды в киоске,16 000,Вакансии
Водитель-экспедитор,40 000,Вакансии
Стоматолог-терапевт-хирург,з/п не ук,Резюме
Главный бухгалтер свободный график,з/п не ук,Резюме
Администратор,з/п не ук,Резюме
Помощник косметолога,35 000,Вакансии
Подработка,10 000,Резюме
Промышленный альпинист,з/п не ук,Резюме
Грузчик,з/п не ук,Резюме
"Водитель на личном автомобиле, семейный водитель",60 000,Резюме
Охранник-администратор,30 000,Резюме
Оператор на входящие/исходящие звонки,29 000,Вакансии
"Без квалификации, с обучением",з/п не ук,Резюме
Бухгалтер на дому,3 000,Резюме
Менеджер по продажам,50 000,Резюме
