Вакансия,Зарплата,Тип
Педагог/Воспитатель/Помощник воспитателя,25 000,Вакансии
"Бухгалтер,помощник бухгалтера,бухгалтер-кассир",35 000,Резюме
Администратор/Консультант (Василеостровская),25 000,Резюме
Сборщик мебели на адресах,5 000,Резюме
Электросварщик на полуавтомат,65 000,Вакансии
Водитель такси,45 000,Вакансии
Подсобный рабочий,2 000,Резюме
Парикмахер на замену,Догов,Резюме
Продавец,25 000,Вакансии
Продавец продуктов питания,37 000,Вакансии
Помощники по хозяйству,40 000,Резюме
Водитель-экспедитор с личных грузовым автомобилем,60 000,Резюме
Мастер-отделочник по декоративной штукатурке,45 000,Вакансии
Телохранитель. Консультант по безопасности. Старши,50 000,Резюме
Тренер по футболу,Зарплата не ук,Резюме
Пекарь-кондитер,30 000,Вакансии
Повар,38 000,Резюме
Швеья,Зарплата не ук,Резюме
Водитель такси VW Jetta (м.Ленинский проспект) 1/3,50 000,Вакансии
Водитель такси VW Polo график работы 1/1,55 000,Вакансии
Водитель-экспедитор,82 000,Вакансии
Офисный курьер,35 000,Вакансии
Администратор\Массажист,40 000,Резюме
Продавец-кассир,1 500,Вакансии
Механик атп,40 000,Резюме
Водитель,45 000,Резюме
Автомойщик/ Мойщик автомобилей,30 000,Вакансии
Инженер,60 000,Резюме
Водитель такси (Ежедневные выплаты),90 000,Вакансии
Любая на дому,1 000,Резюме
Водитель с личным грузовым автомобилем,Догов,Резюме
Водитель-курьер службы доставки,50 000,Вакансии
Водитель катигории B. D,40 000,Резюме
Приглашаю водителя на автомобиль компании,45 000,Вакансии
Продавец,30 000,Вакансии
Начальник производства,70 000,Резюме
Контролёр кпп,20 000,Резюме
Повар-универсал,2 000,Резюме
Техник-электрик,30 000,Резюме
Администратор мини-отеля,45 000,Вакансии
"Водитель автомобиля кат,В,С.на вашем или моем авто",45,Резюме
Сборщик установщик кухонь,Зарплата не ук,Резюме
Монтаж,Зарплата не ук,Резюме
"Няня, гувернантка",300,Резюме
Монтажник кухонь,Зарплата не ук,Резюме
Репетитор начальных классов,Зарплата не ук,Резюме
"Главный бухгалтер, частичная занятость/удалённо",Зарплата не ук,Резюме
"Расклейщик объявлений,промоутер",1 570,Вакансии
Охранник дневные/суточные/ночные посты,28 000,Вакансии
Водитель курьер (Все районы города),50 000,Вакансии
Грузчик-экспедитор,30 000,Вакансии
Комплектовщик,24 000,Вакансии
Грузчик,23 000,Вакансии
Старший кладовщик,30 000,Вакансии
Ищу работу,Зарплата не ук,Резюме
Оператор производственной линии,22 000,Вакансии
Водитель такси с ежедневными выплатами,45 000,Вакансии
Специалист офиса продаж,45 000,Вакансии
"Бригадир, прораб,производитель работ",Зарплата не ук,Резюме
Мастер по ремонту обуви,80 000,Вакансии
Стационарный мерчендайзер (Санкт-Петербург),43 000,Вакансии
Помощник бухгалтера,20 000,Резюме
Личный водитель,50 000,Резюме
Водитель такси на автомобиль компании,60 000,Вакансии
Курьер пеший,30 000,Резюме
Ищу работу сварщиком,100,Резюме
Администратор,25 000,Резюме
Спб-москва-спб,Догов,Резюме
Охранник без лицензии на крупные объекты,33 550,Вакансии
Водитель такси на авто компании (Оплата ежедневно),85 000,Вакансии
Водитель такси VW Polo (м.Ладожская) график 1/1,60 000,Вакансии
Бетонщик,35 000,Резюме
Водитель такси,60 000,Вакансии
Грузчик склада,25 000,Вакансии
Сметчик удаленно,850,Резюме
Рассмотрю любые варианты,30 000,Резюме
Водитель-экспедитор с личным автомобилем,Зарплата не ук,Резюме
Слесарь по ремонту мототехники,50 000,Резюме
Плотник на производство железобетонных изделий,50 000,Вакансии
Контролёр охранник,33 000,Вакансии
Мастер маникюра-педикюра,Догов,Вакансии
Оператор Call-центра в брачное агентство,70 000,Вакансии
Сушист,Зарплата не ук,Вакансии
Администратор-кассир,Зарплата не ук,Вакансии
Водитель-экпедитор (а/м для работы не выделяется),100 000,Вакансии
Ищу работу или подработку,45 000,Резюме
Пекарь-кассир,30 000,Вакансии
"Ищу сборщиком товара, комплектовщиком това",Догов,Резюме
Водитель личный,Зарплата не ук,Резюме
Хореограф,800,Резюме
Электрик. Электромонтажник,15 000,Резюме
Бармен-официант,Зарплата не ук,Резюме
Требуется монтажники вентиляции,Зарплата не ук,Вакансии
Сварщик,Зарплата не ук,Резюме
Водитель подработка в вечернее время и выходные,Зарплата не ук,Резюме
Водитель автомобиля,Зарплата не ук,Резюме
Оператор на входящие звонки,25 000,Вакансии
Механик по транспорту (мастер транспортного отдела,40 000,Резюме
Бухгалтер-калькулятор,Зарплата не ук,Резюме
Водители-экспедиторы,162 000,Вакансии
Водитель такси на парковый автомобиль Яндекс,60 000,Вакансии
Администратор,Зарплата не ук,Резюме
Домработник,30 000,Резюме
Менеджер по работе с клиентами (Санкт-Петербург),41 000,Вакансии
Оператор на телефон,27 000,Вакансии
Работа на авто,40 000,Резюме
Мастер на все руки,1,Резюме
Оператор на линии,31 000,Вакансии
Агент по недвижимости обучение бесплатное,50 000,Вакансии
Ищем работу подсобных рабочих все славяне,1 300,Резюме
"Экскаваторшик, тракторист",40 000,Резюме
Уборщица,15 000,Вакансии
Продавец-консультант,30 000,Резюме
Менеджер-консультант салона связи Билайн,41 000,Вакансии
Водитель со своим грузовым автомобилем,Зарплата не ук,Резюме
"Водитель такси, 70 процентов от заказа вам",50 000,Вакансии
Расклейщик объявлений,1 570,Вакансии
"Водитель такси, еженедельные выплаты",50 000,Вакансии
Администратор. Рассмотрю все предложения,30 000,Резюме
Водитель такси,80 000,Вакансии
Водитель такси VW Jetta (м. Улица Дыбенко) 1/2,65 000,Вакансии
Водитель-экспедитор,82 000,Вакансии
Водитель-экспедитор,82 000,Вакансии
На усмотрение работодателя,30 000,Резюме
Водитель с личным автомобилем 1.5т,30 000,Резюме
Сварщик-монтажник-сборщик,Зарплата не ук,Резюме
Работа (подработка) с ежедневной оплатой,Зарплата не ук,Резюме
Фурнитурщца,40 000,Вакансии
Водитель В (ежедневные выплаты),90 000,Вакансии
Продавец-консультант (тц Мега Парнас),26 000,Вакансии
Продавец-консультант,30 000,Вакансии
Водитель,1 000,Резюме
"Кладовщик, комплектовщик, грузчик, 2 работа по сов",Догов,Резюме
Личный помощник,100 000,Резюме
Ищу работу разнорабочий,Зарплата не ук,Резюме
Водитель такси VW Jetta (м. Чёрная речка) 1/2,55 000,Вакансии
"Грузчик-разнорабочий, дворник",25 000,Резюме
Ассистент преподавателя,8 000,Вакансии
"Продавец,работница зала,контролер,администратордис",25 000,Резюме
Водитель на хлебозавод Хлебный дом,45 000,Вакансии
"Заместитель главного бухгалтера, бухгалтер филиала",50 000,Резюме
Менеджер по продажам в салон,45 000,Вакансии
Водитель на хлебозавод Фацер,45 000,Вакансии
"Монолитчики, арматурщики",90 000,Вакансии
"Репетитор по физике,математике",300,Резюме
Продавец,35 000,Вакансии
Строитель каркасных домов,50 000,Резюме
Администратор-кассир в Булошную Жан Руа,30 000,Вакансии
"Визажист-стилист, визажист-бровист",Зарплата не ук,Резюме
Ищу работу водителя,32 000,Резюме
Администратор автомойки,50 000,Вакансии
Водитель такси,55 000,Вакансии
"Разнорабочий, подсобник, грузчик, монтажник маляр",Зарплата не ук,Резюме
Водитель такси,45 000,Вакансии
Водитель авто компании (выплаты сразу),90 000,Вакансии
Репетитор по гитаре и ударным,500,Резюме
Помощник,Зарплата не ук,Резюме
Водитель такси,75 000,Вакансии
Машинист башенного крана,45 000,Резюме
Каменщик,100 000,Резюме
Администратор-кассир в таксопарк. График 5/2,38 000,Вакансии
Подсобник-разнарабочий опыт,1 200,Резюме
Сварщик на полуавтомат 3 разряд,35 000,Резюме
Оператор call-центра (входящие),25 000,Вакансии
Распространитель по почтовым ящикам,Зарплата не ук,Резюме
Водители для доставки хлеба,135 000,Вакансии
Ночной продавец в цветочный магазин,Зарплата не ук,Вакансии
Няня - воспитатель,50 000,Вакансии
Консультант Контакт-центра (входящие),24 000,Вакансии
Требуются установщики-монтажники деревянных дверей,200 000,Вакансии
"Водитель нового авто (выплаты сразу 50\50,60\40)",90 000,Вакансии
"Промоутер на Невский, ежедневные выплаты",50 000,Вакансии
Автомойщик (мойщик легковых автомобилей),45 000,Вакансии
Требуется водитель манипулятора,80 000,Вакансии
Швея,25,Резюме
Ученик мойщика,15 000,Вакансии
Кассир в супермаркет,33 500,Вакансии
Массажистка,2 500,Резюме
Продавец,20 000,Вакансии
Гипрочник,2 000,Вакансии
"Продавец - консультант МТС (м. Садовая, Спасская)",42 000,Вакансии
"Оператор-кассир АЗС (Лахтинский пр., Ольгино)",30 000,Вакансии
Водитель-экспедитор с личной Газелью,60 000,Резюме
"Парикмахер, универсал",50 000,Вакансии
Администратор (Шушары),20 000,Вакансии
Менеджер по развитию,15 000,Вакансии
Мех. Тех. обслуживания,Зарплата не ук,Резюме
Работник производства,25 000,Вакансии
Водитель такси на ночную смену шкода рапид,65 000,Вакансии
"Охранник, контролер магазина, администратор",25 000,Резюме
Водитель в московском районе,60 000,Вакансии
Водитель такси на дневную смену шкода рапид,70 000,Вакансии
Водитель такси на автомобиле компании,50 000,Вакансии
Водитель такси на зарплату,45 000,Вакансии
"Водитель курьер (м.пл.Восстания, м.Садовая)",50 000,Вакансии
Начальник участка электромонтажных работ,60 000,Резюме
Косметолог,30 000,Вакансии
Водитель м.Международная,70 000,Вакансии
Оператор на телефон,15 000,Вакансии
Кассир(Василеостровская),34 000,Вакансии
Продавец-флорист в ночь,Зарплата не ук,Вакансии
Кассир постоянная работа(подработка) спб,36 000,Вакансии
Водитель,50 000,Вакансии
Шиномонтажник,Зарплата не ук,Резюме
Водитель такси VW Polo (м.Ленинский проспект) 1/2,55 000,Вакансии
Любая работа,1 300,Резюме
Шиномонтажник,50 000,Вакансии
Промоутер зазывала,50 000,Вакансии
Грузчик,31 000,Вакансии
Подсобный рабочий,30 000,Вакансии
Водитель самосвала,80 000,Вакансии
Фельдшер,500,Резюме
Продавец-кассир продуктов питания,25 000,Резюме
Водитель,50 000,Резюме
Водитель,60 000,Резюме
Работа в такси с ежедневными выплатами,90 000,Вакансии
Продавец-консультант в магазин аксессуаров,45 000,Вакансии
Актёр кино,100 000,Резюме
Работник производства,2 000,Резюме
Грузчик-экспедитор/грузчик на час,2 000,Резюме
Раздача флаеров распространение,150,Резюме
Домработница-уборщица,25 000,Резюме
Промоутер раздача листовок,Зарплата не ук,Резюме
Водитель-экспедитор,Зарплата не ук,Резюме
Промоутер раздача флайеров,150,Резюме
Маляр-штукатур,30 000,Резюме
Горничная с проживанием,28 000,Вакансии
Разнорабочий,30 000,Резюме
"Торговый представитель, менеджер по совместительст",Догов,Резюме
Оператор теплоэнергетических установок,30 000,Резюме
Мерчендайзер,Зарплата не ук,Резюме
Монтажник,Зарплата не ук,Резюме
"Ищем объемы по сантехнике,ппр",Зарплата не ук,Резюме
SEO-оптимизатор,Зарплата не ук,Резюме
Горничная с проживанием,25 000,Вакансии
Уборщица во Всеволожске,20 000,Вакансии
Водитель такси на авто компании (м. Парнас),70 000,Вакансии
Водитель Яндекс.такси на сменный график,50 000,Вакансии
Водитель на Пушкинский хлебозавод,50 000,Вакансии
"Администратор в гостиницу,официант,кассир",25 000,Резюме
Водитель такси (м.пр. Просвещения),70 000,Вакансии
Водитель на авто компании (м.Парнас),70 000,Вакансии
Юрист,70 000,Вакансии
Требуется парикмахер,30 000,Вакансии
Водитель такси,60 000,Вакансии
Продавец-кассир (м. Академическая),30 000,Вакансии
Водитель,1 000,Резюме
Менеджер розничных продаж,100 000,Вакансии
Разнорабочие все славяне,1 200,Резюме
Подработка,Зарплата не ук,Резюме
"Помошник/грузчик, по поводу опыта смотря В чом пол",1 500,Резюме
Водитель такси Volkswagen Jetta,55 000,Вакансии
Водитель такси Volkswagen Polo 2015,55 000,Вакансии
Няня,200,Резюме
Репетитор по гитаре,1 000,Резюме
Продавец в джинсовый магазин,30 000,Вакансии
Водитель такси,60 000,Вакансии
Водитель Uber/Убер cпб (моментальные выплаты),95 000,Вакансии
Водитель такси,50 000,Вакансии
Водитель грузового автомобиля (ежедневные выплаты),3 000,Вакансии
Отделочник,50 000,Резюме
Охранник ночной клуб,Зарплата не ук,Резюме
Водитель такси на автомобиль Компании,55 000,Вакансии
