Вакансия,Зарплата,Тип
Охранник метро Нарвская сутки ночь,45 000,Вакансии
"Комплетовщик, грузчик",25 000,Резюме
Работа в офисе,25 000,Резюме
"Экспедитор, грузчик",25 000,Резюме
Оффициант,27 000,Резюме
Охранник,25 000,Резюме
Столяр,70 000,Вакансии
Промоутер на распространение листовок по парадным,25 000,Вакансии
Портной,30 000,Вакансии
Ишу работа,з/п не ук,Резюме
"Управляющий, зам. директора, директор, начальник о",з/п не ук,Резюме
Тендер менеджер,33 333,Резюме
Ищу работу,з/п не ук,Резюме
Программист/Стажер,20 000,Вакансии
Графический дизайнер/дизайнер стажер,25 000,Вакансии
Воспитатель в детскую комнату,25 000,Резюме
Продавец-консультант,30 000,Резюме
Бухгалтер,з/п не ук,Резюме
Специалист по аукционам и тендерам удаленно,5 000,Резюме
Автомеханик,25 000,Резюме
Администратор,18 000,Вакансии
"Проф, укладка плитки",650,Резюме
Проектирование сетей связи,1 000,Резюме
Помощник руководителя,35 000,Резюме
"Требуются водители категории""Е""",75 000,Вакансии
Складской рабочий - комплектовщик,25 000,Вакансии
Бухгалтер,30 000,Резюме
Бариста,10 000,Вакансии
"Водитель-экспедитор, водитель",50 000,Резюме
Бухгалтер. Главный бухгалтер. Неполная рабочая нед,25 000,Резюме
Преподаватель английского языка,з/п не ук,Резюме
Продавец-консультант в магазин женской одежды,30 000,Вакансии
Грамотный кадровик,з/п не ук,Резюме
Сантехник,10 000,Резюме
Ищу работу,30 000,Резюме
Управляющий,50 000,Резюме
"В поисках работы Водитель B, C 10 лет без аварии",з/п не ук,Резюме
"Администратор, работа с документами, касса",29 000,Резюме
Инженер пто либо что-то иное,40 000,Резюме
Плиточник-отделочник,60 000,Резюме
Ищу работу,30 000,Резюме
Домроботница,1 000,Резюме
Швея/портной,28 000,Вакансии
Охранник в см Перекрёсток,22 000,Вакансии
Главный бухгалтер по совместительству,10 000,Резюме
"Грузчик, продавец, разнорабочий, курьер, комплекто",з/п не ук,Резюме
Ищу работу,15 000,Резюме
Управляющий администратор,з/п не ук,Резюме
Электромонтер по ремонту металлорежущих станков,53 000,Вакансии
Начинающий специалист,з/п не ук,Резюме
Кровельщик,з/п не ук,Резюме
"Няня, сопровождающая",15 000,Резюме
Сантехник-монтажник,500,Резюме
Электрик,500,Резюме
"Техник по эксплуатации, электрик",5 000,Резюме
Обслуживание фитнес зала,1 000,Резюме
Швеи,30 000,Вакансии
Помощники по хозяйству,60 000,Резюме
Нужная работа повара на выходные дни,з/п не ук,Резюме
Оператор 1с,з/п не ук,Резюме
Администратором,35 000,Резюме
Водитель категории В на Л/а,66 000,Вакансии
Ищу работу в сфере кино,15 000,Резюме
Биолог,з/п не ук,Резюме
Водитель,з/п не ук,Резюме
"Повар - универсал, шеф- повар",з/п не ук,Резюме
Работа,35 000,Резюме
Нужная работа повар ваихадннен и ноч,з/п не ук,Резюме
Экспедитор/Комплектовщик,35 000,Резюме
"Персональный водитель, водитель охранник",80 000,Резюме
"Рабочий, разнорабочий. по обсл зданий",50 000,Резюме
Упаковщица фасовщица,30 000,Резюме
"Бармен, бариста",20 000,Резюме
Врач гинеколог,250 000,Вакансии
Санкт Петербург,50 000,Резюме
Требуется водитель,25 000,Вакансии
Грузчик,1 500,Резюме
Маркировщица,20 000,Резюме
Охранник-сторож,15 000,Резюме
Промоутер,20 000,Вакансии
Закройщик,30 000,Вакансии
Менеджер по логистике,40 000,Резюме
Ищу работу с проживанием,20 000,Резюме
Главный бухгалтер строительство,20 000,Резюме
"Любая, кроме Орифлейм",з/п не ук,Резюме
Требуется подсобный работник,100,Вакансии
"Плиточник, отделочник-универсал, гипрочник",60 000,Резюме
Охранник / работник зала / продавец,25 000,Вакансии
"Прораб, мастер",з/п не ук,Резюме
"Ищу работу (ежедневные выплаты), гибкий график",25 000,Резюме
Секретарь-помощник руководителя,з/п не ук,Вакансии
Пеший курьер,20 000,Резюме
Устроюсь работать в телевидении,20 000,Резюме
"Личный, офисный водитель",50 000,Резюме
Юрист,з/п не ук,Резюме
Администратор ресепшн,25 000,Резюме
Html-верстальщик / It-специалист,30 000,Резюме
Научный сотрудник,30 000,Резюме
Сотрудники в столовые дет. садов,з/п не ук,Вакансии
Оператор пк,30 000,Вакансии
"Слесарь-инструментальщик, сторож, вахтер, охранник",з/п не ук,Резюме
Технический специалист,45 000,Резюме
Управляющий,49 000,Резюме
Продавец в зоомагазин,28 000,Вакансии
Юрист,50 000,Резюме
Ищу работу в выборгском,30 000,Резюме
Уборщица (пн-пт 9-12),10 000,Вакансии
Диспетчер,з/п не ук,Резюме
В пойсках пракстики автомехаником,з/п не ук,Резюме
"Водитель на своем автомобиле типа ""Каблук""",40 000,Вакансии
Начинающий специалист,25 000,Резюме
Репетитор по истории и обществознанию,800,Резюме
Администратор,25 000,Резюме
Ищу подработку на производстве,1 500,Резюме
Ищу работу на полный день,1 000,Резюме
Водитель-экспедитор,50 000,Резюме
Ищу работу или подработку,з/п не ук,Резюме
"Помощник бухгалтера, Администратор",25 000,Резюме
Швея,160,Вакансии
