Вакансия,Зарплата,Тип
Курьер,з/п не ук,Резюме
"Инженер-проектировщик электроснабжения эс, эом",1 000,Резюме
Водитель кат. Е (Санкт-Петербург),75 000,Вакансии
"Строитель, рабочий",42 000,Вакансии
"Водитель категории С, Е",70 000,Вакансии
Главный бухгалтер (удаленно),5 000,Резюме
Водитель такси (м. Нарвская/ м. Кировский завод),90 000,Вакансии
Подсобный рабочий,з/п не ук,Резюме
Ищу работу,35 000,Резюме
Главный бухгалтер для ип и ооо (удаленно),5 000,Резюме
Я няня с проживанием,60 000,Резюме
Главный бухгалтер для ооо и ип (удаленно),5 000,Резюме
Оператор call-центра,30 000,Вакансии
Оператор пк,45 000,Вакансии
Юрист,65 000,Резюме
"Продавец-кассир в магазин ""Бижутерия, Аксессуары""",25 000,Вакансии
Подсобный рабочий,з/п не ук,Резюме
Инструктор-тренер,35,Резюме
Сборщик мебели (кухни),60 000,Вакансии
"Отделочники (Кафельщики, Маляра, Шагреньщики)",80 000,Вакансии
Охранник,30 000,Вакансии
Водитель категории С на Камаз 6520,80 000,Вакансии
"Водитель, завхоз",33 000,Резюме
Монтажник окон пвх,з/п не ук,Резюме
Электрогазосварщик,з/п не ук,Резюме
Уборщица,12 000,Вакансии
Водитель такси. Подключение. Зарплата сразу,115 000,Вакансии
Главный бухгалер,6 000,Резюме
Менеджер по продажам и поиску заказов,з/п не ук,Резюме
Прораб отделочных работ. Ремонт квартир,100 000,Вакансии
Клиент-менеджер,50 000,Резюме
Специалист по поиску клиентов и рекламе,з/п не ук,Резюме
"Семейный, личный водитель",35 000,Резюме
Курьер пеший,500,Резюме
Монтажник систем вентиляции,з/п не ук,Вакансии
Прораб-бригадир,з/п не ук,Резюме
Охранник с лицензией,2 000,Вакансии
Веб-дизайнер,2 500,Резюме
Помощник разнорабочий,1 500,Резюме
Развока запчастей на авто компании,37 000,Резюме
Удаленная работа,15 000,Резюме
Представитель в г. Луга,з/п не ук,Резюме
Удаленная работа,10 000,Резюме
Ищу работу,25 000,Резюме
Водитель Uber/Убер спб (ежедневные выплаты),110 000,Вакансии
Охранник-администратор,25 000,Резюме
Менеджер по продажам,40 000,Резюме
Водитель грузовика,40 000,Резюме
Мойщица тары,30 000,Вакансии
Работник в продуктовый магазин в Вашем р-не,26 000,Вакансии
Водитель кат. В. С. Д. Е,з/п не ук,Резюме
Продавец-консультант,35 000,Резюме
Продавец-кассир,30 000,Вакансии
Логист,25 000,Резюме
Главный бухгалтер,3 000,Резюме
Мастер маникюра и педикюра,25 000,Резюме
"Водитель такси Uber, Gettaxi, Seven",120 000,Вакансии
Гипрочник,з/п не ук,Резюме
Требуется парикмахер-универсал,35 000,Вакансии
Продавец-консультант Теле2,35 000,Вакансии
"Продавец (Красносельский, Кировский районы)",21 000,Вакансии
Специалист в салон Теле2 г. Красное село,35 000,Вакансии
Тракторист машинист,з/п не ук,Резюме
Продавец (Василеостровский район),21 000,Вакансии
Менеджер по продажам в интернет-магазин,35 000,Вакансии
Подработка,500,Резюме
"На предприятие, в автосалон, другие вар-ты",30 000,Резюме
Курьер (З/п каждый день),30 000,Вакансии
Водитель -курьер (М. Старая Деревня),70 000,Вакансии
Активатор услуг связи,23 000,Вакансии
Скульптор-художник,175,Резюме
Менеджер по продажам,75 000,Вакансии
Повар- универсал,38 000,Вакансии
"Педагог раннего развития, педагог-воспитатель",30 000,Вакансии
Персональный / Семейный водитель,з/п не ук,Резюме
Продавец,27 000,Вакансии
Строитель домов,з/п не ук,Резюме
Повар-универсал,38 000,Вакансии
Мобильный мерчендайзер Красногвардейский район,30 000,Вакансии
Водитель категории Е,65 000,Вакансии
"Разнорабочие, подсобники (Универсалы)",1 200,Резюме
Штукатуры на ремонт квартиры,60 000,Вакансии
Администратор магазина,27 000,Вакансии
Сторож на стоянку автомобилей,2 000,Вакансии
Менеджер по логистике,50 000,Вакансии
Водитель эвакуатора,55 000,Вакансии
Рассмотрю любые варианты,30 000,Резюме
Продавец-консультант,50 000,Вакансии
Мастер ногтевого сервиса (Кудрово),з/п не ук,Вакансии
Мастер по маникюру (ст. м. пр. Ветеранов),60 000,Вакансии
Офис-менеджер со знанием немецкого языка,з/п не ук,Резюме
"Логист, Менеджер по снабжению",25 000,Резюме
Мойщик(ца) автомобилей,30 000,Вакансии
Техник интернет-провайдера,38 000,Вакансии
Бригада,5 000,Резюме
Водитель на автомобиле компании (такси),45 000,Вакансии
"Инженер, менеджер",70 000,Резюме
Продавец в сотовой связи,30 000,Вакансии
Продавец за модуль Tele2,30 000,Вакансии
Продавец-консультант сотовой связи и мобильных уст,30 000,Вакансии
Продавец Tele2,30 000,Вакансии
Продавец-консультант,30 000,Вакансии
"Прораб со своей бригадой, бригада",з/п не ук,Резюме
Маляр отделочник,59 900,Резюме
Продавец-консультант в трк Балкания Nova,27 000,Вакансии
"Гипрочник, отделочник",з/п не ук,Резюме
Ищу работу,1 200,Резюме
Репетитор по музыке,500,Резюме
Электрогазосварщик п/а,65 000,Вакансии
Нужна работа,з/п не ук,Резюме
Водитель на доставку воды,80 000,Вакансии
Монтажник,35 000,Резюме
"Уборщицы, мойщицы",з/п не ук,Вакансии
"Администратор, старший официант",з/п не ук,Резюме
"Продавец в трц ""рио""",1 000,Вакансии
Личный водитель для семьи,з/п не ук,Резюме
"Менеджер по прадажам пвх конструкций, дверей",23 000,Резюме
Парикмахер-универсал,50 000,Вакансии
Ищу подработку с ежедневным расчетом,з/п не ук,Резюме
Водитель В С автомат коробка правый руль либо левы,1 500,Резюме
"Репетитор (русский/английский языки, информатика)",500,Резюме
Охранник,1 350,Резюме
Комплектовщица постельного белья (вахта) спб,65 000,Вакансии
Водитель-экспедитор м. Балтийская,65 000,Вакансии
Бригада электромонтажников 3 человека,10 000,Резюме
"Подработка в вечернее время(уборщица, повар, няня",з/п не ук,Резюме
Водитель самосвала,70 000,Вакансии
Массажист эстетист,1 500,Резюме
Работа с гибким графиком. (С-Пб),28 000,Вакансии
Повар-заготовщик фаст-фуд (С-Пб) обучаем,28 000,Вакансии
Курьер,50 000,Вакансии
"Водитель в выходные, подработка(г Санкт-Петербург)",47 000,Вакансии
Требуется водитель,90 000,Вакансии
Ученик по ремонту стартеров и генераторов,з/п не ук,Вакансии
"Фитнес, Массаж",2 000,Резюме
Разнорабочий-Подсобник,з/п не ук,Резюме
"Рабочие на печенье, проживание+ авансы еженедельно",56 000,Вакансии
Водитель м. Ладожская,70 000,Вакансии
Жестнянщик вентиляционщик на производство,62 000,Вакансии
SMM интернет маркетинг,25 000,Резюме
Официантка,50 000,Вакансии
Водитель такси (подключение),60 000,Вакансии
Водитель такси,50 000,Вакансии
Работа,з/п не ук,Резюме
Кладовщик Начальник склада Начальник смены,40 000,Резюме
Менеджер по продажам,59 888,Вакансии
Ищу работу,з/п не ук,Резюме
Электрик,50 000,Вакансии
Промоутен с мегафоном,з/п не ук,Резюме
"Маляр отделочник, универсал. внутренняя отделка",10 000,Резюме
Требуется водитель на бренд авто. (юг города),65 000,Вакансии
"Дизайнер тканых этикеток, отрисовщик",з/п не ук,Резюме
Расборщик сборщик деревянной тары,40 000,Вакансии
Бармен-официант в фотостудию,26 000,Вакансии
Работник ресторана кфс Кирпичная,24 000,Вакансии
"Официант, курьер, кладовщик",з/п не ук,Резюме
Оператор call-центра в автосалон с опытом работы,50 000,Вакансии
Водитль пухтовоза-камаза,40 000,Вакансии
Водитель с личным автомобилем,з/п не ук,Резюме
Автослесарь грузовой техники,40 000,Вакансии
Официант на линию раздачи,24 000,Вакансии
Ищу работу/подработку,20 000,Резюме
Водитель-курьер м. Ленинский пр,50 000,Вакансии
Повар м. Лесная,40 000,Вакансии
Мастер маникюра,45 000,Резюме
Требуются рабочие на благоустройство,200,Вакансии
Автомеханик VW Transporter,70 000,Вакансии
Буфетчица,з/п не ук,Резюме
Требуются подсобные рабочие,1 500,Вакансии
Подработка,з/п не ук,Резюме
Старший смены поваров (Санкт-Петербург),28 500,Вакансии
Сборщик мебели Выплаты ежедневно,78 000,Вакансии
Требуются маляры,2 500,Вакансии
Бармен в закусочную,з/п не ук,Резюме
Любая,з/п не ук,Резюме
"Системный администратор приходящий, IT аутсорсинг",10 000,Резюме
Требуются гипрочники,2 500,Вакансии
Готова к любой работе,35 000,Резюме
"Администратор-продавец авто шин, дисков",50 000,Резюме
Водитель такси,55 000,Вакансии
Курьер,40 000,Вакансии
"Утвердитель клиентов для интернет-сайта, ночь",20 000,Вакансии
"Ремонт квартир, домов",з/п не ук,Резюме
"Архитектор, дизайнер",з/п не ук,Резюме
Воспитатель,35 000,Вакансии
Автоэлектрик диагност по грузовым автомобилям,60 000,Вакансии
"Утвердитель клиентов для интернет-сайта, ночь",20 000,Вакансии
На чистое швейное производство требуется швея,45 000,Вакансии
Администратор,30 000,Резюме
Массажный мастер,1 800,Резюме
Мастер маникюра. Бесплатное обучение и работа,50 000,Вакансии
Курьер,24 200,Вакансии
Электромонтажник,2 500,Резюме
Оператор производственной линии,30 000,Резюме
Мастер маникюра и педикюра,30 000,Вакансии
Водитель такси (м. Черная речка/ м. Лесная),90 000,Вакансии
Водитель такси,70 000,Вакансии
Администратор. диспетчер. продавец промышленных то,25 000,Резюме
"Администратор, личный помощник, управляющий",з/п не ук,Резюме
Бригада подсобников,з/п не ук,Резюме
Швея закройщица,35 000,Вакансии
Подсобный рабочий. разнорабочий,1 300,Резюме
Разнорабочий. Подсобный рабочий. Рабочий,1 100,Резюме
Сборщик мебели на производстве и на адресе,50 000,Вакансии
"Охранники на различные объекты (магазины, склады)",40 000,Вакансии
Упаковщики на склад (косметика),40 000,Вакансии
Грузчик. рабочий,1 000,Резюме
Машинист мини-экскаватора,300,Вакансии
Механик-автослесарь газель,50 000,Вакансии
Продавец-консультант мебели,40 000,Вакансии
Пеший курьер,40 000,Вакансии
Разнорабочий на склад,50 000,Вакансии
Грузчик,50 000,Вакансии
Экспедитор,50 000,Вакансии
Секретарь,20 000,Вакансии
Офисный водитель,30 000,Вакансии
Главный бухгалтер по совместительству,10 000,Резюме
Водитель такси. Много заказов. Оплата сразу,120 000,Вакансии
Продавец-флорист в ночную смену,20 000,Вакансии
Грузовые перевозки,з/п не ук,Резюме
Водитель с личным авто,з/п не ук,Резюме
Водители в такси по свободному графику,87 000,Вакансии
Массажист,з/п не ук,Резюме
"Сварщик, обивщик мебель, электрик",50 000,Резюме
Водитель-экспедитор,50 000,Вакансии
Водитель такси,40 000,Вакансии
Управляющий группой агентов,65 000,Вакансии
Курьер (ежедн. выплаты) в отдел адресной доставки,40 000,Вакансии
Охранники смены на складе,45 000,Вакансии
"Экспедитор (непрод. товары, канцелярия)",44 000,Вакансии
Упаковщики на склад канцелярии,40 000,Вакансии
Водитель такси,40 000,Вакансии
Нужна работа,250,Резюме
Мойщик автомобилей,40 000,Вакансии
Мойщик-уборщик,21 000,Вакансии
