Вакансия,Зарплата,Тип
Администратор,40 000,Резюме
Специалист по маркетингу,з/п не ук,Вакансии
Требуется разносчик флаеров-промоутр,27 000,Вакансии
Агент в отдел аренды квартир,50 000,Вакансии
Повар универсал,1 500,Резюме
Дизайнер,25 000,Резюме
Пекарь-кондитер,25 000,Вакансии
Уборщица (Петроградский р-н),28 000,Вакансии
Главный бухгалтер со свободным графиком,з/п не ук,Резюме
Рабочий на производство,з/п не ук,Резюме
Водитель кат. В,30 000,Резюме
Водитель газели в спб. Ежедневная оплата работы,90 000,Вакансии
Охранник в п. Ольгино,32 000,Вакансии
Администратор. Хостес. Официантка. Ночные смены,35 000,Резюме
Ищу работу,з/п не ук,Резюме
Водитель,80 000,Резюме
Столяр станочник,30 000,Вакансии
Электромонтёр,з/п не ук,Резюме
"Электрик, электромонтажник",з/п не ук,Резюме
Штукатур плиточник,з/п не ук,Резюме
Водитель такси. Личн/аренд авто. Деньги сразу,125 000,Вакансии
Повар,30 000,Резюме
Преподаватель английского языка,з/п не ук,Резюме
Администратор,40 000,Резюме
Репетитор,200,Резюме
Продавец консультант (трц Мега Парнас),37 000,Вакансии
Менеджер по продажам (вечернее время),35 000,Вакансии
Агент по недвижимости/Риелтор,50 000,Вакансии
Столяр,50 000,Вакансии
Работник торгового зала,27 000,Вакансии
"Автор, писатель, райтер",з/п не ук,Резюме
Утренний официант отеля,з/п не ук,Вакансии
Контент-менеджер,15 000,Резюме
Продавец,15 000,Резюме
Сварщик по Трубопроводам,140,Резюме
Валютный кассир,55 000,Вакансии
Графический дизайнер,28 000,Вакансии
Специалист по продажам,35 000,Вакансии
"Водитель ""Газели""",35 000,Вакансии
Контролер-кассир,28 000,Вакансии
Оператор / Резчик в г. Всеволожск,44 000,Вакансии
Воспитатель,20 000,Вакансии
Водитель авто слесарь,40 000,Резюме
Сиделка с проживанием,40 000,Резюме
Ремонтно-отделочные работы,100,Резюме
Косметолог -Массажист,40 000,Резюме
Грузчик с гибким графиком смены в Вашем р-не,30 000,Вакансии
Бухгалтер по заработной плате,35 000,Резюме
"Уборщицы, уборщики",21 000,Вакансии
Требуется водитель на газель (ежедневный рассчет),90 000,Вакансии
Репетитор по английскому языку(начальные классы),200,Резюме
"Комплектовщик заказов, сборщик",30 000,Резюме
Экспедитор,45 000,Резюме
"Сиделка, няня, помощь по дому",170,Резюме
"Администратор, менеджер, управляющий",з/п не ук,Резюме
"Менеджер, торговый представитель",з/п не ук,Резюме
Администратор ресторана или кафе,30 000,Резюме
"Комплектовщик, упаковщик",31 000,Резюме
Бариста в кофе с собой или кофейню/кондитерскую,з/п не ук,Резюме
Расносчик флаеров - промоутер,27 000,Вакансии
Мастер по ремонту сотовых телефонов,60 000,Вакансии
Дворник,24 000,Вакансии
"Монтажник вентилируемых фасадов, внутр отделка",60 000,Резюме
"Биолог, микробиолог, гидробиолог, зоолог, ботаник",20 000,Резюме
"Электромонтажник, слаботочник",з/п не ук,Вакансии
Продавец-консультант,35 000,Резюме
Рубщик мяса,з/п не ук,Резюме
Секретарь,23 000,Резюме
Автомаляр,50 000,Вакансии
Водитель такси на служебном автомобиле компании,60 000,Вакансии
Сторож,з/п не ук,Резюме
Ищу работу в ресторане официант или Бармен,з/п не ук,Резюме
Упаковщик на производство (вахта+ жилье) спб,65 900,Вакансии
"Монтажник м/к 4р, алмазное бурение, рабочий",45 000,Резюме
Закройщик швейного производства,35 000,Вакансии
"Помощник бухгалтера, менеджер",25 000,Резюме
"Водитель в ночь, развозка персонала",30 000,Вакансии
Набор водителей для работы в такси,90 000,Вакансии
Косметолог,40 000,Резюме
Рассмотрю ваши предложения,з/п не ук,Резюме
Работа в такси от 1процента,70 000,Вакансии
Водитель м. Старая деревня,70 000,Вакансии
Рабочий,40 000,Резюме
Водитель-экспедитор м. Лесная,65 000,Вакансии
Водитель (на автомобиле компании),40 000,Вакансии
Шеф-повар,50 000,Резюме
Администратор,40 000,Резюме
Монтажник,з/п не ук,Резюме
Ищу работу,25 000,Резюме
Водитель такси с ежедневными выплатами,42 000,Вакансии
Менеджер удаленно,з/п не ук,Резюме
Менеджер по работе с клиентами/Оценщик,60 000,Вакансии
Конструктор аттракционов механических,80 000,Резюме
Водитель с личным автомобилем Бизнес класса,100,Резюме
"Конструктор машин, механизмов, приспособлений",80 000,Резюме
"Флорист, продавец-флорист",30 000,Резюме
Бухгалтер на участок реализации,35 000,Резюме
Подработка Флорист,2 000,Резюме
Работа,1 300,Резюме
Сиделка,300,Резюме
Сборщик-комплектовщик,31 000,Вакансии
Автомойщик,50 000,Вакансии
Продавец-консультант в салон связи Билайн,40 000,Вакансии
Звоните насчет подработок,2 000,Резюме
Электрик,50 000,Резюме
Мастер по маникюру (Московский проспект),60 000,Вакансии
Мастер маникюра педикюра (ст. м. пр. Большевиков),60 000,Вакансии
Работа Водителем в службе такси,70 000,Вакансии
Швеи на производство,30 000,Вакансии
"Работник кухни (посуда, чистка овощей и уборка)",11 000,Вакансии
Продавец в мебельный магазин,45 000,Вакансии
Массажистка,2 000,Резюме
Сварщик,300,Резюме
Плиточник-сантехник-электрик,90 000,Вакансии
Продавец-кассир Санкт-Петербург,40 000,Вакансии
Водитель-курьер м. Пионерская,50 000,Вакансии
"Бармен, г. Колпино",35 000,Вакансии
Официант г. Колпино,35 000,Вакансии
"Педагог, няня, репетитор, подготовка к школе",190,Резюме
"Главный бухгалтер/бухгалтер в уо, тсж, котт. посел",20 000,Резюме
"Автослесарь, кузовщик-маляр",40 000,Вакансии
Домработница,з/п не ук,Резюме
Промоутеры (ночные смены),50 000,Вакансии
Подработка. Ищу работу во второй половине дня,з/п не ук,Резюме
Диспетчер адс,15 000,Резюме
"Мастер по наращиванию ресниц, визажист, пирсер",35 000,Резюме
Разнорабочие,1 300,Резюме
Специалист по согласованиям,20 000,Резюме
Инженер,з/п не ук,Резюме
Менеджер по персоналу полставки,10 000,Вакансии
Консультант по театрам,30 000,Вакансии
Водитель такси. Можно на личном авто,99 000,Вакансии
Водитель такси (аренда/зарплата),60 000,Вакансии
Офис менеджер приходящий,10 000,Вакансии
Бригады на заливку полов,з/п не ук,Вакансии
Маляр,з/п не ук,Резюме
Подработка,з/п не ук,Резюме
Специалист по работе с корпоративными клиентами,30 000,Резюме
"Штукатур маляр, рабочий итд",100 000 000 080,Резюме
"Бармен-бариста, администратор",27 000,Резюме
Помощник повара,1 200,Вакансии
Водитель такси (м. Ладожская),90 000,Вакансии
Разнорабочий,1 500,Резюме
"Художник, иллюстратор, декоратор, бутафор",20 000,Резюме
Плиточник Спб,60 000,Резюме
Конструктор по мебели (по совместительству),20 000,Вакансии
Интернет-маркетолог,30 000,Резюме
Инженер,40 000,Резюме
Водитель,40 000,Резюме
Официант выходного дня,16 000,Вакансии
Разнорабочий/подсобный рабочий,1 500,Резюме
Сварщик- аргонщик,40 000,Резюме
Разнорабочий,1 500,Резюме
Водитель-курьер м. Рыбацкое,50 000,Вакансии
Требуется горничная-администратор,12 000,Вакансии
Администратор,25 000,Резюме
Водитель такси,з/п не ук,Вакансии
Водитель в Яндекс-такси,75 000,Вакансии
Управляющий в интернет-магазин детских товаров,40 000,Вакансии
Охранник без лицензии,2 000,Резюме
Администратор ресторана,28 000,Резюме
Ищю работу,60 000,Резюме
"Педагог гр. неполного дня, 'Мама и малыш'",850,Резюме
Продавец-консультант,1 000,Вакансии
Менеджер по работе с клиентами/Оператор,50 000,Вакансии
Работа,1 500,Резюме
Водитель на эвакуатор,з/п не ук,Резюме
Менеджер по развитию,з/п не ук,Вакансии
"Водитель В""С""Д""Е"", механизатор В""С""Д""Е""Ф""",50 000,Резюме
"Сварщик, Электрогазосварщик 4 разряд",з/п не ук,Резюме
Кровельщик,з/п не ук,Резюме
Личный водитель,45 000,Резюме
Швея на производство женской одежды,38 000,Вакансии
Администратор,25 000,Вакансии
"Домработница, няня, уборка квартир",з/п не ук,Резюме
Должность - продавец,25 000,Резюме
Ищу работу в сфере авто,25 000,Резюме
Водитель кат B C стаж 3года,35,Резюме
Работа,1 500,Резюме
Работа водителем такси. Выплаты ежедневно,60 000,Вакансии
Повар-универсал,33 000,Вакансии
Работа водителем такси с ежедневной оплатой,65 000,Вакансии
Водители такси на л/т,95 000,Вакансии
Работа,1 500,Резюме
Ищу работу поваром,з/п не ук,Резюме
Водитель,45 000,Резюме
Интернет-маркетолог,40 000,Резюме
Любая работа,2 000,Резюме
"Грузчик, разнорабочий на производство г. спб",25 000,Вакансии
Работа,1 500,Резюме
"Фасовщица, маркировщица, упаковщица",70 000,Резюме
Работа,1 500,Резюме
"Прораб, Начальник участка, Мастер",60 000,Резюме
Требуется заливщик льда на ледовый каток,25 000,Вакансии
Косметолог в качестве преподавателя,40 000,Вакансии
Пекарь (Приморский район),30 000,Вакансии
Парикмахер-универсал и матер маникюра,35 000,Вакансии
Продавец консультант,41 000,Вакансии
Оператор на телефон,40 000,Вакансии
Приходящий системный администратор,10 000,Резюме
Начинающий PHP Программист (PHP Developer),40 000,Вакансии
"Водитель категории ""В"" на авто компании",70 000,Вакансии
Администратор пансионата,60 000,Вакансии
Водитель-машинист компрессора на Газель,30 000,Вакансии
"Инженер-проектировщик, помощник инженера",30 000,Резюме
Продавец-консультант МТС (г. Петергоф),35 000,Вакансии
Курьер,28 000,Резюме
Монтажнник окон пвх,50 000,Резюме
Водитель,43 000,Вакансии
Водитель - экспедитор,100 000,Вакансии
"Сварщик, сантехник",з/п не ук,Резюме
Разнорабочие бригада ищет работу,1 500,Резюме
"Рубщик мяса, мясник",2 000,Резюме
Официант,34 500,Вакансии
Кассир (Центральный район),26 000,Вакансии
Официантки в ночной бар,50 000,Вакансии
Продавец администратор,70 000,Вакансии
Продавец-консультант одежды,26 000,Вакансии
"Уборщица, на целый рабочий день",1 500,Резюме
Массажистка,2 000,Резюме
"Помощник, секретарь руководителя",40 000,Резюме
Уборщица в магазин,16 200,Вакансии
Няня,300,Резюме
Разнорабочий на стройку,35 000,Вакансии
Дворник,30 000,Вакансии
Уборщицы,30 000,Вакансии
Плиточники,60 000,Вакансии
Фасадчики,500 000,Вакансии
Кровельщики,70 000,Вакансии
"Подработка уборщицей частных квартир, магазинов",з/п не ук,Резюме
Личный охранник - водитель,з/п не ук,Резюме
"""Ленинградское Такси""",50 000,Вакансии
Подсобный рабочий на производство (в Кировск) спб,65 700,Вакансии
Мастер-ремонтник,30 000,Вакансии
Кладовщик-комплектовщик,37 000,Вакансии
Охранник (ночные смены),30 000,Вакансии
Мастер приемщик,50 000,Резюме
Мастер-универсал,з/п не ук,Резюме
Разнорабочий деньги каждый день,1 500,Вакансии
Подработка такси. Личный/арендованный авто,120 000,Вакансии
"Веб-дизайнер, Вебмастер, Программист",15 000,Резюме
Разнорабочий - маляр,2 000,Вакансии
"Водитель в выходные, подработка",45 000,Вакансии
Мойщица посуды,з/п не ук,Резюме
Экспедитор. сопровождение груза. охрана видеонаблю,35 000,Резюме
"Кат. В+ Погрузочная техника(B, C, D)",з/п не ук,Резюме
"Электрик, прогрев бетона",з/п не ук,Резюме
Кассир (Стокманн-сумасшедшие дни),10 500,Вакансии
Начинающий сотрудник в магазин,25 000,Вакансии
Официант,з/п не ук,Резюме
Работники магазинов,30 000,Вакансии
"Электрик-сантехник, мастер на все руки",з/п не ук,Резюме
Повар м. Улица Дыбенко,40 000,Вакансии
Интернет-маркетолог,50 000,Вакансии
Домработница,2 500,Резюме
"Водитель (B, C), гос. служба, охрана",30 000,Резюме
Комплектовщик (непродовольственные товары),36 000,Резюме
Юрист-консультант,35 000,Вакансии
Продавец-консультант в салон Связи Билайн,45 000,Вакансии
Водитель в такси на полный день,70 000,Вакансии
Грузчик-разнорабочий,30 000,Вакансии
Водитель в новый автопарк (Приморский район),40 000,Вакансии
Водитель такси,60 000,Вакансии
Работа водителем в выходные,60 000,Вакансии
Водитель с личным легковым автомобилем,з/п не ук,Резюме
Водитель м. Девяткино,130 000,Вакансии
Специалист в отдел продаж по телефону,40 000,Вакансии
Оператор/диспетчер колл-центра,30 000,Вакансии
Водитель такси (заказы / работа / оплата),60 000,Вакансии
Водитель-экспедитор Ленинградская область,140 000,Вакансии
Водитель-курьер м. Ломоносовская,50 000,Вакансии
Главный бухгалтер с серьёзным опытом (на дому),з/п не ук,Резюме
Повар универсал,30 000,Вакансии
Компетентный главный бухгалтер (удаленно),з/п не ук,Резюме
Автомаляр,80 000,Вакансии
"Маляр-отделочник, машинная покраска",з/п не ук,Резюме
Арматурщик,2 000,Резюме
Водитель-курьер м. Купчино,50 000,Вакансии
Повар,27 500,Вакансии
Приходящий системный администратор,800,Резюме
"Рабочий, кровельщик, строитель",40 000,Вакансии
"Разнорабочие, подсобники",1 500,Резюме
Приходящий системный администратор,600,Резюме
Ищу работу,35 000,Резюме
Мастер маникюра-педикюра,20 000,Вакансии
Маляр по дереву,1 000,Резюме
Укладчица-упаковщица,31 200,Вакансии
Юрист,30 000,Резюме
"Продавец-кассир в тк ""Французский бульвар""",30 000,Вакансии
Продавцы-кассиры в кондитерские(обучаем) С-Пб,29 000,Вакансии
Водитель Такси,40 000,Резюме
Водитель на газели,350,Резюме
Менеджер в офис,50 000,Вакансии
Водитель на своей газели,375,Резюме
Менеджер по продажам металлопроката,80 000,Вакансии
В поиске подработки,999,Резюме
"Рабочий, монтаж/демонтаж",1 500,Резюме
Консультант (выплаты каждую неделю),45 000,Вакансии
"Администратор, секретарь, продавец-консультант",20 000,Резюме
Главный бухгалтер,50 000,Вакансии
"Кассир в супермаркет, можно без опыта",32 000,Вакансии
Пекарь,32 000,Вакансии
Операционист 1с / Офис-менеджер,30 000,Вакансии
Продавец консультант,35 000,Вакансии
"Водитель такси в спб, вахтовый метод с проживанием",50 000,Вакансии
"Требуются грузчики, работа грузчиком",125,Вакансии
Автоэлектрик по ремонту ам Газель и Hyundai HD,50 000,Вакансии
Охранник,30 000,Резюме
Подсобный рабочий на хлебобулочный завод fazer,36 000,Вакансии
Водитель,50 000 100 000,Вакансии
Сварщик,50 000,Резюме
Грузчик-комплектовщик г. Санкт-Петербург,31 900,Вакансии
Шиномонтажник,30 000,Вакансии
Почтовый курьер,40 000,Вакансии
Водитель самосвала,50 000,Вакансии
Плиточник на площади,450,Резюме
Мастер сто,50 000,Вакансии
Автослесарь - Автомеханик,70 000,Вакансии
Водитель такси,50 000,Вакансии
Водитель на автомобиле компании,60 000,Вакансии
Менеджер (продавец) автозапчастей,50 000,Вакансии
Сиделка,30 000,Резюме
"Бухгалтер (вся отчетность, алкогольные декларации)",8 000,Резюме
Работа агентом на квоте. Продажи и Аренда,85 000,Вакансии
Приглашаем водителей (г. Санкт-Петербург),100 000,Вакансии
Кладовщик (Пискареский проспект),35 000,Вакансии
Повар ночной смены,40 000,Вакансии
Водитель на Пушкинский хлебозавод,50 000,Вакансии
"Фотограф, ретушер",7 000,Резюме
Главный бухгалтер,5 000,Резюме
"Ищу любую работу, плотник, столяр",40 000,Резюме
Копирайтер,5 000,Резюме
Главный бухгалтер,5 000,Резюме
"Ищу любую работу, плотник, столяр",40 000,Резюме
Копирайтер,5 000,Резюме
"Продавец-кассир в тк ""Континент"" (Автово)",30 000,Вакансии
Менеджер по работе с клиентами / оператор,25 000,Вакансии
Бармен в пивной ресторан,25 000,Резюме
"Графический дизайнер, верстальщик",5 000,Резюме
Продавец,27 000,Вакансии
Помощник менеджера,45 000,Вакансии
Водитель на 5 тонник Hyundai. Загрузка юг спб,60 000,Вакансии
Водитель кат. В се,з/п не ук,Резюме
"Продавец-кассир в тк ""Галерея""",30 000,Вакансии
Грузчик,200,Резюме
"Продавец-кассир в тк ""Космос""",30 000,Вакансии
Мастер по ремонту сотовых телефонов,60 000,Вакансии
Заведующий складом/зам. начальника склада,50 000,Резюме
Конструктор рыболовных блесен,40 000,Резюме
Массажист,800,Резюме
Дизайнер конструктор эксклюзивной мебели,50 000,Вакансии
Грузчик,з/п не ук,Резюме
Ищу подработку на вечерние и выходные дни,з/п не ук,Резюме
Подработка,з/п не ук,Резюме
Аниматор в лабиринт страха,24 000,Вакансии
Требуется конструктор на столярное производство,60 000,Вакансии
Водитель. авто кат В,з/п не ук,Резюме
Создание сайтов и интернет магазинов,5 000,Резюме
"Менеджер по продажам, г. Санкт-Петербург",40 000,Вакансии
Продавец,35 000,Вакансии
Продавец,15 000,Резюме
Водитель такси (подработка),100 000,Вакансии
Бухгалтер главный (удаленно),5 000,Резюме
Водитель такси выплаты сразу после смены,50 000,Вакансии
Ведущий бухгалтер (удаленно),5 000,Резюме
Экскаваторщик,250,Резюме
Водитель такси на новом автомобиле компании в спб,70 000,Вакансии
Главный бухгалтер удаленно,5 000,Резюме
Технолог - калькулятор,з/п не ук,Резюме
Бухгалтер главный (удаленно),5 000,Резюме
"Управляющий, зав. производством",з/п не ук,Резюме
Бармен,35 000,Резюме
Бухгалтер ведущий (удаленно),5 000,Резюме
