Вакансия,Зарплата,Тип
"Кладовщик, комплектовщик",20 000,Резюме
Преподаватель курса маникюр-педикюр,45 000,Вакансии
Помощник повара,20 000,Резюме
Оператор кательной,30 000,Резюме
Работа в указанную з/плату,35 000,Резюме
Ищу работу продавцом-консультантом,з/п не ук,Резюме
Водитель,з/п не ук,Резюме
Администратор,20 000,Резюме
Мерчендайзер,25 000,Резюме
Ведущий специалист по охране труда,з/п не ук,Резюме
Официант,з/п не ук,Резюме
Бармен(официант). Администратор,30 000,Резюме
Выполним строительные работы,з/п не ук,Резюме
"Руководитель, зам. руководителя службы безопасност",50 000,Резюме
Помощник воспитателя,10 000,Вакансии
Экономист-менеджер,з/п не ук,Резюме
Музыкант Ведущий Саксофонист Певец,з/п не ук,Резюме
Ищу подработку с ежедневными выплатами,1 000,Резюме
Ищу подработку,з/п не ук,Резюме
Специалист,40 000,Резюме
"Официант, повар",з/п не ук,Резюме
Ищу подработку,з/п не ук,Резюме
Менеджер по продажам,40 000,Вакансии
Специалист по снабжению,40 000,Резюме
Готов к переговорам,з/п не ук,Резюме
"Web разработка, Системный администратор",28 000,Резюме
Технолог общественного питания,з/п не ук,Резюме
Требуется портной,40 000,Вакансии
Менеджер по продаже недвижимости с обучением,60 000,Вакансии
Продавец авто запчастей,з/п не ук,Резюме
Отделочник-разнорабочий,2 000,Резюме
"Подработаю, деньги нужны (суббота-воскр)",з/п не ук,Резюме
Директор,70 000,Резюме
Домработница,2 000,Резюме
Менеджер по продаж (работа в офисе),40 000,Вакансии
Маляр штукатур,70 000,Вакансии
"Ищу подработку вальщиком, работа с бензопилами",1 500,Резюме
"Бухгалтер на первичную документацию, оператор 1С",15 000,Резюме
Промоутер,15 000,Резюме
Строитель,з/п не ук,Резюме
Ищу работу,20 000,Резюме
Администратор Салона красоты,25 000,Резюме
Различные,з/п не ук,Резюме
"Мастер - отделочник, ремонт и отделка квартир",з/п не ук,Вакансии
"Техник, инженер",з/п не ук,Резюме
Помощник флориста (продавец флорист),20 000,Резюме
"Водитель B, C, D, E",40 000,Резюме
Менеджер,50 000,Резюме
Личный-семейный водитель,з/п не ук,Резюме
"Бухгалтер, инспектор ок",,Резюме
Копирайтер,25 000,Резюме
Изделия из стеклопластика,з/п не ук,Резюме
Хореографх,10 000,Резюме
Менеджер / администратор,35 000,Резюме
Ищу работу семейным водителем или персональным,45 000,Резюме
Механик по выпуску,з/п не ук,Резюме
Бухгалтер,30 000,Резюме
Водитель-экспедитор,30 000,Резюме
Ищу подработку или работу на своём ам,з/п не ук,Резюме
"Администратор сайта, Web мастер, SEO, администрато",з/п не ук,Резюме
Водитель,30 000,Резюме
Менеджер по работе со строительными компаниями,35 000,Вакансии
Менеджер по работе с клиентами,30 000,Вакансии
Грузчик Подсобник Курьер,30 000,Резюме
Ищу постоянную работу шиномонтажником,30 000,Резюме
Водитель на самосвал,40 000,Резюме
Ищу не официальную подработку,1 000,Резюме
Мастер по ремонту одежды,45 000,Вакансии
"Архитектор, проектировщик",15 000,Резюме
Разнорабочий,25 000,Резюме
Ищу работу в офисе,27 000,Резюме
Любая сфера работы,40 000,Резюме
Персональный водитель,60 000,Резюме
Оператор Чпу,35 000,Резюме
"Водитель в ночь, грузчик, экспедитор",50 000,Резюме
Работа,400 000,Резюме
Консультант/помощник,19 000,Резюме
Мастер маникюра-педикюра,30 000,Резюме
Любая сфера деятельности,з/п не ук,Резюме
Оператор Чпу,35 000,Резюме
Личный водитель,50 000,Резюме
Менеджер по кадрам,30 000,Резюме
Менеджер по работе с соискателями,14 000,Вакансии
Газорезчик,з/п не ук,Резюме
"Кладовщик, помощник кладовщика, товаровед, продаве",з/п не ук,Резюме
Журналист,35 000,Резюме
Механик по выпуску,з/п не ук,Резюме
Ищем работу. Разные варианты,1 500,Резюме
"Продавец, администратор, менеджер",з/п не ук,Резюме
Водитель В С Е,40 000,Резюме
Помощник руководителя,35 000,Резюме
Ищу работу. Студент,1 000,Резюме
Уборщица,з/п не ук,Резюме
"Ищу работу, гражданин Украины",40 000,Резюме
"Администратор, продавец-консультант, экспедитор",50 000,Резюме
Уборщица (вечер),8 000,Резюме
"Штукатур, моляр",2 000,Резюме
"Охраник, офисный работник",з/п не ук,Резюме
Администратор,35 000,Резюме
Юрист / юрисконсульт,35 000,Резюме
Инженер-Химик-Технолог,50 000,Резюме
Водитель-экспедитор,30 000,Резюме
Директор сайта,10 000,Вакансии
Техник по обслуживанию зданий и сооружений,40 000,Резюме
Финансовый менеджмент и бухгалтерия,28 000,Резюме
Требуются отделочники,1 500,Вакансии
Ищу работу,25 000,Резюме
Официант,10 000,Резюме
