Вакансия,Зарплата,Тип
"Автомеханик, автослесарь",60 000,Вакансии
Дизайнер,з/п не ук,Резюме
Тайный покупатель,з/п не ук,Резюме
Инженер-проектировщик,30 000,Резюме
Рассмотрю Любые Вакансии,30 000,Резюме
Мобильный мерчендайзер,22 000,Вакансии
Начальник отдела снабжения/ведущий инженер/инженер,45 000,Резюме
Старший продавец/кассир/администратор,23 000,Резюме
Водитель Солярис-такси,50 000,Вакансии
Швея,25 000,Вакансии
Продавец консультант (тк родео драйв),27 000,Вакансии
Администратор гостиницы,20 000,Вакансии
Водитель со своим автомобилем,,Резюме
Плиточник,600,Резюме
Плиточник,600,Резюме
Курьер,15 000,Вакансии
Отделочник-гипсокартонщик,з/п не ук,Резюме
"Руководитель производственного участка, бригадир",50 000,Резюме
"Секретарь, администратор, помощник",40 000,Резюме
Требуются плиточники,30 000,Вакансии
Охранник 6 разряда,45 000,Резюме
Ищу работу,30 000,Резюме
Помощник руководителя (делопроизводитель),35 000,Вакансии
Начальник транспортного отдела,60 000,Резюме
Ищу подработку 2/2 поваром итальянской кухни,2 000,Резюме
Переводчик с/на китайский язык,з/п не ук,Резюме
"Администратор, Офис-менеджер, Секретарь",30 000,Резюме
Поиск работ с ежедн выпл,1 600,Резюме
Ассистент менеджера по персоналу,25 000,Резюме
Промоутер,100,Вакансии
"Риэлтор, агент по недвижимости",68 000,Вакансии
"Требуется продавец кассир, м Лиговский проспект",30 000,Вакансии
Оператор на телефоне,30 000,Вакансии
Повар (помощник повара),23 000,Вакансии
"Мерчандайзер-грузчик, Комендантский пр/Пионерская",24 000,Вакансии
Менеджер по продаже недвижимости,70 000,Вакансии
Фотограф,20 000,Резюме
Отделочник-уневерсал,з/п не ук,Резюме
Медицинская сестра анестезист,30 000,Резюме
Менеджер тендерного отдела,30 000,Резюме
Продавец консультант,30,Резюме
Бригада монтажников скс от 4 человек,160 000,Вакансии
Монтажники разнорабочие на забор,45 000,Вакансии
Менеджер по продажам,з/п не ук,Резюме
Курьер пеший,з/п не ук,Резюме
Кассир-буфетчик,з/п не ук,Вакансии
Проводник поезда,30 000,Резюме
Механик,50 000,Резюме
Инженер по безопасности дорожного движения,40 000,Резюме
Требуются отделочники/маляры/штукатуры,82 000,Вакансии
Водитель водитель-курьер,30 000,Резюме
Инженер по транспорту,40 000,Резюме
Косметолог в салон красоты,35 000,Вакансии
Дизайнер-верстальщик,з/п не ук,Резюме
Механик по выпуску транспорта на линию,35 000,Резюме
Ищу подработку сварщиком,з/п не ук,Резюме
Начальник транспортного отдела,55 000,Резюме
Продавец - консультант зоотоваров,25 000,Вакансии
Ищу заработок. Быстро обучаюсь. Физически подготов,35 000,Резюме
Менеджер по активным продажам,60 000,Вакансии
Продавец-кассир,25 000,Резюме
Ищу работу,30 000,Резюме
Повар универсал (алякард),30 000,Вакансии
"Преподаватель фортепиано, концертмейстер",з/п не ук,Резюме
Менеджер по туризму,з/п не ук,Вакансии
Бухгалтер-экономист,40 000,Резюме
Инженер-гидрогеолог,з/п не ук,Резюме
Няня,з/п не ук,Резюме
"Архитектор, инженер пгс, конструктор кж, км",1 500,Резюме
Массажистка мастер,з/п не ук,Резюме
Продавец-кассир,28 000,Вакансии
Уборка квартир,10 000,Вакансии
Бухгалтер,2 000,Резюме
Грузчики (Калининский р-н),25 000,Вакансии
Подработку. водитель электропогрузчика штабелёра,з/п не ук,Резюме
Водителям на личном авто фонд фокус 2014 года,45 000,Резюме
Отделка и ремонт,50 000,Вакансии
Специалист информационной безопасности,35 000,Резюме
Инженер,20 000,Резюме
Няня,з/п не ук,Резюме
Менеджер отдела запчастей и дополнительного обору,50 000,Резюме
Водитель такси на авто компании,50 000,Вакансии
Сервисный инженер (механик пищевого оборудования),40 000,Вакансии
Сотрудница для работы за компьютером,38 000,Вакансии
Ищу работу печатником,1 500,Резюме
Требуется мастер по массажу и спа,37 000,Вакансии
Раздатчик рекламного материала,150,Вакансии
Рабочие на строительство каркасных домов,3 000,Вакансии
Помощник системного администратора,25 000,Резюме
"Требуется продавец кассир, все районы Питера",1 300,Вакансии
"Администратор, бухгалтер, секретарь",35 000,Резюме
Агент по вторичной недвижимости,50 000,Вакансии
Бригада монтажников и сварщиков,з/п не ук,Резюме
Электрик,50 000,Резюме
Женский мастер,35 000,Резюме
Слесарь сантехник,з/п не ук,Резюме
"Мастер, прораб дорожных работ",65 000,Резюме
Ищу работу фельдшером-лаборантом,25 000,Резюме
Бармен/барбэк,20 000,Резюме
Утренняя и дневная уборка,12 000,Вакансии
Водитель погрузчика,250,Резюме
Охранник с лицензией,25 000,Резюме
Парикмахер-универсал,25 000,Вакансии
Администратор/Менеджер,30 000,Резюме
Разнорабочий на строительный объект,71 500,Вакансии
Токарь на производство,50 000,Вакансии
Бухгалтер Калькулятор,з/п не ук,Резюме
Калькулятор,з/п не ук,Резюме
Рассмотрю все варианты,30 000,Резюме
"Личный помощник, управляющий, водитель, админ",з/п не ук,Резюме
Ищу работу,30 000,Резюме
Требуется грузчик-комплектовщик,39 000,Вакансии
Администратор,30 000,Резюме
Продавец-кассир-бармен,20 000,Резюме
"Требуется отделочник, плиточник, подсобные рабочие",30 000,Вакансии
"Графический дизайнер, иллюстратор",з/п не ук,Резюме
Слесарь-механик,35 000,Вакансии
Плиточники,50 000,Вакансии
"Монтажники сэндвич панелей, профлиста и др",з/п не ук,Вакансии
Инженер электромеханик/эксплуатация/электрик,з/п не ук,Резюме
Инженер,35 000,Резюме
Администратор-кассир в сеть магазинов,30 000,Вакансии
Требуются маляры,5 000,Вакансии
Агент-стажер в отдел аренды,90 000,Вакансии
Строитель,30 000,Резюме
Требуется повар универсал (суши/горячка/пицца),50 000,Вакансии
Отделочники,55 000,Вакансии
Менеджер по управлению персоналом,40 000,Резюме
Повар в загородный комплекс,30 000,Вакансии
Менеджер по логистике,з/п не ук,Резюме
"Руководитель отдела, администратор",80 000,Резюме
Флорист,35 000,Вакансии
Сборщик на склад продуктов питания,35 000,Вакансии
Курьер (доставка заказов интернет-магазина),30 000,Вакансии
Штукатур,200,Резюме
Водитель-экспедитор,35 000,Вакансии
"Руководитель отдела, администратор",80 000,Резюме
Менеджер в интернет магазин,20 000,Вакансии
"Администратор галереи, выставочного центра",20 000,Резюме
Кладовщик,27 000,Вакансии
"Автослесарь, моторист, автомаляр, автоэлектрик",50 000,Резюме
Преподаватель английского языка,8 000,Вакансии
Утренний официант,з/п не ук,Резюме
Сантехник. электрик,з/п не ук,Резюме
Web-Программист (junior),20 000,Резюме
Менеджер ресторана,35 000,Вакансии
Преподаватель английского языка,з/п не ук,Резюме
Агент по аренде недвижимости,80 000,Вакансии
Офис-менеджер,25 000,Резюме
Менеджер по клинингу,35 000,Вакансии
"Продавец кассир, можно без опыта, м Автово",30 000,Вакансии
Менеджер по продажам запчастей,40 000,Вакансии
Продавец рыбного отдела,26 000,Вакансии
Разнорабочий,20 000,Резюме
Кладовщик,20 000,Резюме
Комплектовщик,20 000,Резюме
Плиточник на подработку,з/п не ук,Резюме
"Маляр, Арматурщик",2 000,Вакансии
"Гл. бухгалтер на дому (осно, Упрощенка, Вмененка)",3 000,Резюме
Продавец-кассир,25 000,Резюме
Графический дизайнер,25 000,Резюме
"Плотник - столяр, паркетчик, сборщик мебели, гипро",100,Резюме
Требуется сборщик мебели,22 800,Вакансии
Слесарь-сборщик,з/п не ук,Вакансии
"Администратор, логист, менеджер, помощник, сторож",25 000,Резюме
"Администратор, кассир",40 000,Резюме
Менеджер по туризму,30 000,Вакансии
Программист,50 000,Вакансии
Преподаватель игры на гитаре,1 000,Резюме
Сантехника отопление,з/п не ук,Резюме
"Продавец кассир, можно без опыта, м Черная речка",30 000,Вакансии
"Шеф-повар, Су-шеф",з/п не ук,Резюме
"Требуется рабочие, деньги каждый день",1 500,Вакансии
Машинист автокрана,45 000,Вакансии
Продавец-консультант,20 000,Резюме
Менеджер по наружной рекламе,з/п не ук,Вакансии
"Заведующая, заместитель директора, товаровед",35 000,Резюме
Администратор,25 000,Резюме
Выездной официант,2 000,Резюме
Повар в столовую,1 800,Вакансии
Администратор,з/п не ук,Резюме
"Начальник участка, инженер пто, менеджер проектов",50 000,Резюме
Кладовщик,25 000,Резюме
"Ищу работу, которую можно совмещать с учебой",15 000,Резюме
Менеджер,20 000,Резюме
Администратор,25 000,Резюме
Оператор call-центра вечерний,13 000,Вакансии
"Бухгалтер, администратор",з/п не ук,Резюме
Работник на производство (помощник оператора),32 000,Вакансии
Рефрижираторы на постоянную работу,з/п не ук,Вакансии
Водитель,з/п не ук,Вакансии
Инженер/ помощник инженера/ начинающий специалист,з/п не ук,Резюме
"Копирайтер, набор текста, администратор сообществ",18 000,Резюме
Нужна работа в вечернее время,з/п не ук,Резюме
Ищу работу водителя,з/п не ук,Резюме
"Администратор, продавец-консультант магазина профе",30 000,Резюме
Ищу работу кузовщиком,з/п не ук,Резюме
Комерческий директор,80 000,Резюме
"Охранник в гипермаркет "" Лента""",21 600,Вакансии
"Экономист, финансист",з/п не ук,Резюме
Администратор салона красоты,з/п не ук,Резюме
Парикмахер универсал,з/п не ук,Вакансии
Требуется подсобный рабочий,26 000,Вакансии
Уборщица,22 000,Вакансии
Продавец флорист,1 000,Вакансии
Ищу работу с ежедневными выплатами,з/п не ук,Резюме
Инженер-механик,45 000,Резюме
Горничная в апарт-отель / хостел,1 200,Вакансии
Менеджер по продажам,31 000,Вакансии
Ищу работу,20 000,Резюме
Водитель такси на автомобилях компании,50 000,Вакансии
Ищу работу,25 000,Резюме
Грузчики (Шушары),26 000,Вакансии
"Требуется продавец (канцтовары, часы, игрушки)",18 000,Вакансии
"Администратор, управляющий",35 000,Резюме
Отделочник-плиточник,50 000,Резюме
Продавец,з/п не ук,Вакансии
Повар-универсал,25 000,Резюме
Менеджер по работе с клиентами,30 000,Резюме
Требуются официанты в престижные отели,з/п не ук,Вакансии
Диспетчер такси в Курортном р-не г. Сестрорецк,30 000,Вакансии
Менеджер объекта,30 000,Вакансии
Водитель на манипулятор,50 000,Вакансии
Приходящий системный администратор (ит-специалист),2 500,Резюме
"Буровой мастер, машинист буровой установки",з/п не ук,Резюме
Мастер маникюра,з/п не ук,Вакансии
Инженер-монтажник слаботочных сетей,з/п не ук,Резюме
Требуется мобильный мерчендайзер на авто,28 000,Вакансии
"Инструктор групповых программ, фитнес тренер",500,Резюме
"Главный бухгалтер, финансовый директор",60 000,Резюме
Составитель поездов,з/п не ук,Резюме
Администратор в студию танца,35 000,Резюме
Водитель легкового авто,35 000,Резюме
"Гипрочники, штукатуры, маляры",з/п не ук,Резюме
"Инструктор по пилатесу, zumbe",з/п не ук,Резюме
Рабочий на производстве,35 000,Резюме
Кассир (вахта с проживанием) Санкт-Петербург,52 000,Вакансии
Эколог/биолог,26 000,Резюме
Ищу работу,27 000,Резюме
"Шиномонтажник, мастер шиномотажа",20 000,Вакансии
Продавец,27 000,Резюме
Охранник,68 000,Вакансии
Мерчендайзер,500,Вакансии
Слесарь-ремонтник,30 000,Резюме
Мастер на час зборка мебели ремонт элктрики и. т,25 000,Резюме
Не важно,з/п не ук,Резюме
Различные вакансии,30 000,Резюме
Монтажник,40 000,Резюме
Менеджер по продажам,40 000,Резюме
Официант,35 000,Вакансии
Бухгалтер,30 000,Резюме
Охранник Икеа Парнас,22 100,Вакансии
Бухгалтер,35 000,Резюме
Бухгалтер/помощник бухгалтера,30 000,Резюме
Администратор,20 000,Вакансии
Кассир(м. Озерки),25 000,Вакансии
Ищу работу,з/п не ук,Резюме
Продавец консультант,35 000,Резюме
Продавец-консультант,30 000,Вакансии
Преподаватель английского и испанского языков,з/п не ук,Резюме
Репетитор по английскому и испанскому языкам,з/п не ук,Резюме
"Бригады, специалисты, мастера",1 500,Резюме
Подсобный рабочий,40 000,Вакансии
Переводчик английского и испанского языка,з/п не ук,Резюме
Монтажник натяжных потолков,50 000,Вакансии
"Инженер по эксплуатации, управляющий недвижимостью",50 000,Резюме
Электрик-диагност,65 000,Вакансии
Помощник адвоката,15 000,Вакансии
Архитектор проектировщик,25 000,Резюме
Менеджер по работе с ключевыми клиентами,150 000,Вакансии
Охранник в магазин модной одежды,24 000,Вакансии
"Охранник в гипермаркет ""Призма""",22 800,Вакансии
Охранник без лицензии,24 000,Вакансии
Оператор 1с,30 000,Резюме
Помощник сметчика/стажер/ученик,10 000,Резюме
Заведующий складом/кладовщик,30 000,Вакансии
Менеджер по продажам,40 000,Резюме
Оператор поломоечной машины,24 000,Вакансии
Требуются грузчики. Оплата ежедневно,27 000,Вакансии
Повар,40 000,Вакансии
Автослесарь,35 000,Вакансии
Дизайнер иллюстратор,35 000,Резюме
Работник производственного отдела,50 000,Вакансии
Мастер- отделочник,40 000,Резюме
Требуются подсобные рабочие. Оплата еженедельно,40 000,Вакансии
"Административный ассистент, Личный помощник",з/п не ук,Резюме
Подработка,12 000,Резюме
Ищу работу,25 000,Резюме
Помощник фотографа,35 000,Вакансии
Массажистка,1 800,Резюме
Массажист,1 000,Резюме
Сервис инженер по ремонту и обслуживанию оргтехник,30 000,Резюме
Официант,26 000,Вакансии
"Главный бухгалтер, бухгалтер",з/п не ук,Резюме
"Рабочий, сварщик",з/п не ук,Резюме
"Бригадиры, прорабЫ, сварщики",з/п не ук,Вакансии
Бухгалтер,35 000,Резюме
Подсобные рабочие на завод Ниссан,21 000,Вакансии
Требуется стропальщик,25 000,Вакансии
Директор Магазина,40 000,Резюме
Плотник,45 000,Вакансии
Механик автопарка/начальник гаража,30 000,Резюме
"Договорной отдел, бухгалтер, отдел снабжения",35 000,Резюме
Ищу работу,з/п не ук,Резюме
Грузчик в Зеленогорск,1 200,Вакансии
Продавец Кассир,25 000,Вакансии
Педагог для занятий с дошкольниками,з/п не ук,Вакансии
"Дизайнер конструктор, технолог, визуализатор мебел",з/п не ук,Резюме
Преподаватель английского,12 000,Вакансии
"Токарь, автомеханик, стажёр оператора чпу",25 000,Резюме
Бухгалтер,з/п не ук,Резюме
Экспедитор,40 000,Резюме
"Требуется швея, мастер по ремонту одежды",з/п не ук,Вакансии
Мастер участка,40 000,Резюме
Требуется мастер отк,40 000,Вакансии
Помошник повара,1 200,Вакансии
Продовец консультант,28 000,Резюме
Ищу подработку,з/п не ук,Резюме
Водитель автопогрузчика (Мурманское ш.),31 000,Вакансии
"Инструктор по Bodyflex, Bellydance (танцу живота)",500,Резюме
Пекарь (м. Озерки),27 000,Вакансии
Промышленный альпинист (высотник),777,Резюме
Менеджер проектов,50 000,Вакансии
Ищю работу,з/п не ук,Резюме
Повар-универсал,25 000,Вакансии
Массажист,з/п не ук,Вакансии
Водитель-курьер на л/а,50 000,Вакансии
Требуются Швеи работа в г. Санкт-Петербурге,45 000,Вакансии
Управляющий объектом,з/п не ук,Резюме
Ищу подработку,12 000,Резюме
Машинист мостового крана,35 000,Резюме
"Домработница, уборка квартиры",з/п не ук,Резюме
Начальник(заместитель) отдела,60 000,Резюме
Администратор сауны(М. Комендантский ),30 000,Вакансии
Женский мастер парикмахер,з/п не ук,Вакансии
Управляющий домом,з/п не ук,Резюме
Повар мясного цеха,1 500,Вакансии
Повар сушист,35 000,Вакансии
Ревизор в ночь 02.09 - 03.09 г. Колпино,1 000,Вакансии
Управляющий сети,45 000,Вакансии
Продавец консультант,20 000,Резюме
Повар горячего цеха,35 000,Вакансии
Повар-пиццер/Повар-сушист,35 000,Вакансии
"Повар (пиццер, сушист)",35 000,Вакансии
Продавец,1 500,Вакансии
"Менеджер, секретарь, помощник бухгалтера",30 000,Резюме
Требуется уборщица в бц,18 500,Вакансии
Менеджер по поиску мест под установку кофеавтомато,7 000,Вакансии
"Сметчик (удаленная работа, разовые заказы)",з/п не ук,Резюме
Слесарь сантехник,24 000,Резюме
Водитель кат B C,40 000,Резюме
"Водители, работа в Гет Такси",85 000,Вакансии
Администратор в сауну,40 000,Резюме
Монтаж мембранных кровель (с термоизоляцией),80,Резюме
Заместитель главного инженера,45 000,Резюме
Требуется рабочий на монтаж,30 000,Вакансии
Мойщик автомобилей,з/п не ук,Вакансии
Монтажник,50 000,Резюме
"Требуются разнорабочие, подсобники",50 000,Вакансии
Персонал в ночной клуб Метро,25 000,Вакансии
Администратор,25 000,Резюме
Требуются монтажники и отделочники окон пвх,60 000,Вакансии
Инженер линий связи,з/п не ук,Резюме
Юрист,35 000,Резюме
Требуются монтажники и подсобники,35 000,Вакансии
"Штукатурка, малярка, стяжка, плитка и другие работ",2 000,Резюме
Мастер по ремонту посудомоечных и стиральных машин,60 000,Вакансии
"Администратор, офис-менеджер, модель",25 000,Резюме
Требуется продавец в небольшой магазин,700,Вакансии
Мастер. установщик турников,25 000,Вакансии
"Секретарь, помощник руководителя",25 000,Резюме
Рабочий на производство,30 000,Вакансии
Требуются официанты,1 200,Вакансии
Менеджер активных продаж,40 000,Вакансии
Электромонтажники,10 000,Резюме
"Начальник участка, прораб",60 000,Резюме
Требуется пекарь для работы с дрожжевым тестом,1 500,Вакансии
"Стропальщик, водитель-электропогрузчик, вод вс",40 000,Резюме
Косметолог,з/п не ук,Резюме
Продавец в магазин одежды для новорожденных,30 000,Вакансии
Расклейка объявлений,500,Вакансии
Подработка,18 000,Резюме
"В Гипермаркет требуется персонал, Снг, Пл. Мужеств",24 000,Вакансии
"Требуются грузчики еженедельные выплаты, м П. М",24 000,Вакансии
Начинающий специалист,з/п не ук,Резюме
Личный Персональный Водитель,40 000,Резюме
Слесарь-сантехник (без опыта),30 000,Резюме
Сметчик на удаленную работу,1 000,Резюме
Кладовщик,з/п не ук,Резюме
"Автомойщик, мойщик автомобилей",30 000,Вакансии
Медицинская сестра,25 000,Вакансии
Машинист экскаватора погрузчика,50 000,Вакансии
Прораб по кровельным работам,з/п не ук,Резюме
"Охранник, старший смены, помощник руководителя",45 000,Резюме
Гипрочник,з/п не ук,Резюме
Курьер пеший,25 000,Вакансии
Гипрочнкики-штукатуры,80 000,Вакансии
Дизайнер полиграфической продукции,29 500,Вакансии
"Экспедитор, грузчик, оплата ежедневная",40 000,Вакансии
Фотомодель студии визуальных разработок,25 000,Вакансии
"Архитектор, проектировщик (внештатный)",з/п не ук,Резюме
"Программист 1С, Настройка 1С, Обслуживание 1С",1 000,Резюме
Импорт менеджер,70 000,Резюме
"Архитектор, Проектировщик частных домов",з/п не ук,Резюме
Водитель Газель,40 000,Вакансии
Охранник без лицензии,з/п не ук,Резюме
Отделка,40 000,Резюме
Любая ночная,з/п не ук,Резюме
Работник бистро на азк вр Разметелево,24 000,Вакансии
Водитель в такси,50 000,Вакансии
Монтажники окон пвх,з/п не ук,Вакансии
Ищу работу,25 000,Резюме
Ищу работу,22 000,Резюме
Кальянщик,20 000,Вакансии
Администратор,з/п не ук,Резюме
Грузчик,250,Резюме
Временная подработка,з/п не ук,Резюме
Видеооператор,з/п не ук,Резюме
Бухгалтер,28 000,Резюме
Ученик Маляр отделочник,30 000,Вакансии
"Работник, мерчендайзер, ртз, грузчик",28 000,Резюме
Личный водитель,70 000,Резюме
Повар,20 000,Резюме
Продавец,25 000,Вакансии
Столяр,40 000,Вакансии
