Вакансия,Зарплата,Тип
Требуется Шиномонтажник,40 000,Вакансии
"Грузоперевозки, вывоз мусора",з/п не ук,Резюме
Парикмахер-универсал,з/п не ук,Резюме
Сборщик светодиодных светильников,32 000,Вакансии
Автослесарь в сервис BMW,50 000,Вакансии
Помощник системного администратора,30 000,Резюме
"Администратор, Менеджер",28 000,Резюме
Водитель экспедитор,45 000,Резюме
"Управляющий, заведующий",50 000,Резюме
Няня,200,Резюме
Газо-электросварщик,з/п не ук,Вакансии
Строитель (каркасные дома),30 000,Резюме
Бригада каменщиков,з/п не ук,Резюме
Помощник повара,29 000,Вакансии
Монтажник окон,з/п не ук,Резюме
Подсобный рабочий,27 000,Вакансии
Официант,25 000,Резюме
Ведущий инженер по генплану,60 000,Резюме
Ищу работу офис-менеджером в Санкт-Петербурге,25 000,Резюме
Юрист (юрисконсульт),40 000,Резюме
Арматурщик,50 000,Вакансии
Курьер,14 000,Вакансии
Специалист,30 000,Резюме
Любую достойно оплачиваемую работу,з/п не ук,Резюме
Бригада маляров-штукатуров,60 000,Вакансии
Продавец в отдел декора,750,Вакансии
Помощница по дому,47 000,Резюме
"Курьер, охранник, официант",10 000,Резюме
Ищу работу/подработку на автомобиле,15 000,Резюме
Ищу работу с ежедневными или еженедельными выпл,з/п не ук,Резюме
Инженер-проектировщик,30 000,Резюме
"Инспектор, специалист",28 000,Резюме
Грузчик-экспедитор,45 000,Резюме
Мобильный мерчендайзер на продукцию Heinz,26 100,Резюме
"Бухгалтер на первичку, помощник бухгалтера",з/п не ук,Резюме
Зав. производством,40 000,Резюме
"Помошник руководителя, администраор, официант",з/п не ук,Резюме
"Управляющая, администратор кафе",30,Резюме
Уборщица,20 000,Вакансии
"Преподаватель хореографии, танцевальных направлени",з/п не ук,Вакансии
Ищу работу,40 000,Резюме
Преподаватель по английскому языку в частный д/с,35 000,Вакансии
Коммерческий директор,50 000,Вакансии
Автомойщик,25 000,Вакансии
Водитель с личным легковым а/м,40 000,Вакансии
Слесарь-сантехник,50 000,Резюме
Продавец-кассир,23 000,Вакансии
Водитель,50 000,Резюме
Сварщик-аргонщик,40 000,Вакансии
Водитель,з/п не ук,Резюме
Машинист дизельной электростанции,50 000,Резюме
Администратор,30 000,Резюме
Консультант в области философии,2 000,Резюме
Cео Специалист,10 000,Резюме
"Домработница, сиделка, уборщица, большой опыт раб",40 000,Резюме
Продавец кассир,25 000,Вакансии
"Домработница, помощница по дому, уборка дома",2 000,Резюме
Водитель,35 000,Резюме
Администратор,25 000,Резюме
"Домработница, помощница по хозяйству, няня сиделка",з/п не ук,Резюме
"Помощница по хозяйству, няня, дом работница",40 000,Резюме
Преподаватель спортивно-бальных танцев,15 000,Вакансии
Администратор салона красоты,1 000,Вакансии
Ищу работу,100,Резюме
"Репетитор по математике, физике, шахматам, англ. я",600,Резюме
Рекламщик на автомобиле,1 500,Вакансии
Требуются грузчики,450,Вакансии
"Бармен, официантка",35 000,Резюме
Водитель Б С,50 000,Резюме
Официант,20 000,Вакансии
Сварщик. Мастер цеха,50 000,Резюме
Продавец магазина игрушек и канцтоваров,25 000,Вакансии
Администратор ресторана,30 000,Резюме
Плотник,500,Резюме
Инженер-конструктор,55 000,Резюме
"Менеджер, администратор",35 000,Резюме
"Преподаватель, репетитор английского и французског",750,Резюме
Бухгалтер главный,6 000,Резюме
Мастер столярного участка,65 000,Вакансии
Администратор,2 000,Резюме
Разнорабочий,1 200,Вакансии
Поиск работы,20 000,Резюме
"Помощник бухгалтера, оператор пк (1С)",26 000,Резюме
Курьер-водитель,з/п не ук,Резюме
Оператор 1с,2 000,Резюме
Распространитель листовок,45 000,Вакансии
Мойщица посуды,18 000,Вакансии
Машинист экскаватра-погрузчика,40 000,Резюме
Распространитель рекламы по п/я,40 000,Вакансии
Парикмахер,50 000,Вакансии
Отделочник-универсал,50 000,Резюме
Продавец свежевыжатых соков и коктейлей,30 000,Вакансии
Водитель,з/п не ук,Резюме
"Бухгалтер удаленно, с частичной занятостью",1 000,Резюме
"Вакансия ""Свободный водитель""",175 000,Вакансии
Чайно-кальянный мастер,30 000,Вакансии
Менеджер по продажам,30 000,Вакансии
Тайный покупатель,1 000,Резюме
Водитель-курьер на доставку,1 400,Вакансии
Шлифовщик деревянных изделий,30 000,Вакансии
Водитель категории С+ Е,55 000,Вакансии
Преподаватель по шахматам в частный д/с,з/п не ук,Вакансии
"Швея, закройщик",22 000,Вакансии
Водитель,1 000,Вакансии
Водитель,45 000,Резюме
Высший менеджмент,60 000,Резюме
Водитель такси,50 000,Вакансии
Официант,30 000,Вакансии
"Продавец кассир, можно без опыта, Чебышевская",30 000,Вакансии
Помощник риэлтора,15 000,Вакансии
"Администратор, Менеджер по персоналу",40 000,Резюме
Уборщица,15 000,Резюме
Пильщик,30 000,Вакансии
Главный инженер,з/п не ук,Резюме
"Дизайнер, верстальщик",з/п не ук,Резюме
"Менеджер, администратор",35 000,Резюме
"Экономист, помощник бухгалтера, финансовый менедже",27 000,Резюме
Экспедитор,40 000,Резюме
Строительная бригада,50 000,Вакансии
Пресс-служба,30 000,Резюме
Промышленный Альпинист Высотник Верхолаз,3 000,Резюме
Автомеханик/шиномонтажник,40 000,Вакансии
Производитель работ (прораб),з/п не ук,Резюме
Официант-Бармен,з/п не ук,Резюме
Ищу работу),з/п не ук,Резюме
Уборщицы 2/2,15 000,Вакансии
Помощник проектировщика,30 000,Резюме
Автомойщики,з/п не ук,Вакансии
Мастер сахарной эпиляции/шугаринг,1 000,Резюме
"Тренер по полотнам, belly dance, pole dance",1 100,Вакансии
Администратор автомойки,з/п не ук,Вакансии
Инструктор тренажерного зала,з/п не ук,Резюме
"Монтажник, бригада",50 000,Вакансии
Услуги бухгалтера,з/п не ук,Резюме
"Гладильщица, утюжильщица",24 000,Вакансии
"Раскройщица, закройщица",24 000,Вакансии
Водитель,30 000,Резюме
"Регистрация, ликвидация ооо, ип, смена гд, уч-ов",1 200,Резюме
Дизайнер интерьера,з/п не ук,Резюме
Администратор,30 000,Резюме
Инженер пто,30 000,Резюме
Ведущий менеджер по работе с клиентами,40 000,Резюме
Чистка овощей,з/п не ук,Резюме
"Event менеджер, администратор, консультант",25 000,Резюме
Продавец сувенирной продукции,1 000,Вакансии
Специалист по кадровому делопроизводству,45 000,Резюме
Монтажники систем вентиляции,з/п не ук,Резюме
Официант,з/п не ук,Резюме
Ищу работу,20 000,Резюме
Бортпроводник туристического автобуса,60 000,Вакансии
Райтер. Реклама на асфальте,45 000,Вакансии
Администратор,23 000,Вакансии
Стажёр риэлтора,50 000,Вакансии
Повар,33 000,Резюме
"Помощник, секретарь",20 000,Резюме
Кладовщик,25 000,Резюме
Официант,40 000,Резюме
Работники магазинов,30 000,Вакансии
Распространитель буклетов по почтовым ящикам,5 000,Вакансии
Комплектовщик,30 000,Вакансии
Доверенное лицо/Снабженцы/Торговые представители,29 000,Резюме
Электромонтажник,60 000,Вакансии
"Прораб, начальник участка",70 000,Резюме
Менеджер,18 000,Резюме
Ищю работу,з/п не ук,Резюме
"Копирайтер, менеджер, тайный покупатель, музыкант",5 000,Резюме
Требуется мастер по ремонту лодочного мотора,50 000,Вакансии
Автослесарь легковых автомобилей,50 000,Вакансии
Ищу работу в фитнес центре/клубе,30 000,Резюме
Требуется промоутер,100,Вакансии
"Требуется кассир сети ""К-Руока"" в г. Петергоф",30 000,Вакансии
Тракторист (водитель погрузчика),25 500,Резюме
Менеджер по продажам мебели,40 000,Вакансии
Менеджер по продажам рекламных услуг,55 000,Вакансии
Бухгалтер,35 000,Резюме
Проверяющий распространителей листовок,500,Вакансии
Разнорабочий,з/п не ук,Резюме
"Врач стоматолог- терапевт, хирирг",з/п не ук,Вакансии
Эксперт качество строительства обследование зданий,80 000,Резюме
"Системный администратор, веб-дизайн, раскрутка сай",5 000,Резюме
Фрезеровщик,з/п не ук,Вакансии
Расклейщик объявлений,500,Вакансии
Водитель персональный-офисный,38 000,Резюме
Инженер-проектировщик,40 000,Вакансии
Продавец-администратор (ст. метро Нарвская),27 000,Вакансии
"Экономист, бухгалтер, финансовый менеджер",з/п не ук,Резюме
"Помощник руководителя, Менеджер интернет магазина",з/п не ук,Резюме
Автомойщики,40 000,Вакансии
Парикмахер,40 000,Вакансии
Офис-менеджер,25 000,Вакансии
Ищу работу с ежедневными или еженедельными выплата,1 000,Резюме
Поиск работы,50 000,Резюме
Любая работа,500 000,Резюме
Проектировщик,20 000,Резюме
Водитель кат. В,з/п не ук,Резюме
Ищу работу барменом или официантом,30 000,Резюме
Требуются разнорабочие,30 000,Вакансии
Консультант,з/п не ук,Резюме
Рабочий на производство,55 000,Резюме
Главный инженер,50 000,Резюме
