Вакансия,Зарплата,Тип
Стропальщик,з/п не ук,Резюме
Менеджер по работе с клиентами,25 000,Вакансии
"Делопроизводитель, секретарь, администратор",з/п не ук,Резюме
Продавец-кассир,1 200,Вакансии
Сборщик алюминиевых конструкций,з/п не ук,Вакансии
Пивовар,з/п не ук,Резюме
Бармен/Помощник повара/Кондитер,30 000,Резюме
Юрист,20 000,Резюме
Ищу работу со сменным графиком,з/п не ук,Резюме
"Администратор, помощник руководителя",30 000,Резюме
Парикмахер /Мастер производственного обучения,20 000,Вакансии
Продавец - кассир м. Технологический интститут,22 000,Вакансии
Телохранитель,60 000,Резюме
Сметчик,500,Резюме
"Ищу работу, или подработку. строительство и. т. д",з/п не ук,Резюме
Ищу рабботу,з/п не ук,Резюме
Охранник (окей) г. Колпино,20 000,Вакансии
Менеджер отдела продаж,80 000,Вакансии
"Требуются сотрудники, принимаем всех, пл Мужества",24 000,Вакансии
"Грузчик, разнорабочий",1 700,Резюме
Супервайзер без опыта,50 000,Вакансии
Бетонщик,50 000,Вакансии
Установка бордюрного камня поребрики,з/п не ук,Резюме
Работа маляром на сто,1 000,Вакансии
Профессиональные плиточники,з/п не ук,Резюме
Ландшафтный дизайны,з/п не ук,Резюме
Менеджер,30 000,Резюме
Главный бухгалтер,17 000,Резюме
Мерчендайзер,25 000,Резюме
Водитель с рефрежератором,з/п не ук,Резюме
Продавец-кассир,20 000,Резюме
Водитель,25 000,Резюме
Укладка тротуаров,з/п не ук,Резюме
Рабочий подсобный грузчи,1 500,Резюме
Электрогазосварщик полуавт под рентген. Только с ж,60 000,Резюме
Подсобник разноробочий грузчик,15 000,Резюме
Охранник. электрик. плотник,25 000,Резюме
Разнорабочий,з/п не ук,Резюме
"Бригады фасадчиков, вентилируемый фасад, фасады",800,Резюме
Требуемся в роботе,1 500,Резюме
Официанты с опытом и без на (пр. Просвещения),40 000,Вакансии
Швея,35 000,Вакансии
"Администратор хостела, продавец-консультант",10 000,Резюме
Преподаватель по ударным в музыкальную школу,350,Вакансии
Продавец-консультант м. Бухарестская,20 000,Вакансии
Распространители листовки по почтовым ящикам,30 000,Вакансии
Ищу работу в красносельском районе,30 000,Резюме
Водитель B,з/п не ук,Резюме
Водитель категории С,40 000,Вакансии
Менеджер по развитию агентской сети,20 000,Вакансии
Продавец,з/п не ук,Резюме
Продавец-кассир,30 000,Вакансии
Кузовщик с функциями маляра,50 000,Вакансии
Автомойщик,35 000,Вакансии
Техник,з/п не ук,Резюме
Водитель на Эвакуатор (спб и ло),68 500,Вакансии
Начальник охраны,з/п не ук,Резюме
Рабочий на производство,2 000,Резюме
"Начальник охраны, службы безоп., зам. ген. дир",35 000,Резюме
Звено сварщиков-ручников 6 разряд,45 000,Резюме
Менеджер по продажам автомобилей,35 000,Резюме
Менеджер по продажам,50 000,Вакансии
Мастер маникюра,з/п не ук,Резюме
Продавец молочной продукции,25 000,Вакансии
Электромонтажник судовой,з/п не ук,Вакансии
Тренер ай-ки-до,з/п не ук,Вакансии
Бригадир водителей эл. штабелёров. (С-Пб),30 000,Вакансии
"Официант, официантка",з/п не ук,Резюме
Монтажник систем вентиляции и кондиционирования,з/п не ук,Резюме
Помощник официанта в выходные дни,20 000,Вакансии
Ищу работу,з/п не ук,Резюме
"Офис -менеджер, секретарь, Администратор",24 000,Резюме
